Gene	ENSEMBL	median (tumor)	median (normal)	log2FC	adj.p.val	Rank
AC002398.11	ENSG00000267439.1	0.06	0.185	-0.161	4.11E-32	-31.3861581781239
AC002398.12	ENSG00000267328.1	2.62	7.889	-1.296	4.1E-25	-24.3872161432803
AC002398.13	ENSG00000267049.1	0.685	1.435	-0.531	1.3E-27	-26.8860566476932
AC002398.9	ENSG00000188223.9	4.13	4.075	0.016	0.364	0.438898616350944
AC002400.1	ENSG00000261528.2	0.03	0.135	-0.14	2.42E-39	-38.6161846340196
AC002451.3	ENSG00000231170.5	0.52	0.835	-0.272	4.97E-05	-4.30364361126667
AC002454.1	ENSG00000237819.5	0.1	0.07	0.04	0.236	0.627087997029893
AC002456.2	ENSG00000223969.5	1.555	0.995	0.357	1.79E-08	7.74714696902011
AC002467.7	ENSG00000241764.3	8.17	4.615	0.708	7.63E-24	23.1174754620451
AC002480.3	ENSG00000232759.1	0.02	0.05	-0.042	6.21E-18	-17.2069083998234
AC002480.5	ENSG00000225541.1	0	0.035	-0.05	1.34E-13	-12.8728952016352
AC002511.2	ENSG00000233214.1	2.32	2.28	0.017	0.959	0.018181392829336
AC002511.3	ENSG00000232680.2	1.13	0.9	0.165	0.000412	3.38510278396687
AC002519.8	ENSG00000259810.2	0.02	0.06	-0.055	1.4E-39	-38.8538719643218
AC002550.6	ENSG00000276571.1	0.7	0.955	-0.201	7.23E-07	-6.14086170270547
AC002984.2	ENSG00000267005.1	0	0.1	-0.138	2.11E-24	-23.6757175447023
AC003002.6	ENSG00000269533.5	0.29	0.25	0.045	0.868	0.061480274823508
AC003003.5	ENSG00000188477.12	0.02	0.01	0.014	0.0119	1.92445303860747
AC003005.2	ENSG00000268266.1	0.07	0	0.098	0.42	0.3767507096021
AC003006.7	ENSG00000269026.2	0.26	0.17	0.107	7.65E-06	5.11633856484638
AC003075.4	ENSG00000237773.5	0.48	0.69	-0.191	9.78E-07	-6.0096611452124
AC003088.1	ENSG00000226965.1	0.06	0	0.084	0.94	0.026872146400301
AC003090.1	ENSG00000223561.6	0.57	2.165	-1.011	5.28E-43	-42.2773660774662
AC003104.1	ENSG00000236194.3	0.03	0.14	-0.146	3.4E-36	-35.4685210829577
AC003682.17	ENSG00000269097.1	0	0.1	-0.138	1.57E-26	-25.8041003475908
AC003973.1	ENSG00000269615.1	0	0.09	-0.124	3.53E-46	-45.4522252946122
AC003973.3	ENSG00000279377.1	0.14	1.47	-1.115	4.65E-72	-71.33254704711
AC003986.6	ENSG00000232821.1	0.01	0.02	-0.014	0.36	-0.443697499232713
AC003991.3	ENSG00000228113.7	2.79	0.775	1.094	2.8E-20	19.5528419686578
AC004009.2	ENSG00000279429.1	0.06	0	0.084	6.71E-05	4.17327747983101
AC004009.3	ENSG00000224322.1	0.06	0	0.084	6.23E-08	7.20551195334083
AC004012.1	ENSG00000233942.1	0	0.05	-0.07	2.49E-18	-17.6038006529043
AC004019.13	ENSG00000236754.5	0.05	0.15	-0.131	2.28E-28	-27.6420651529995
AC004057.1	ENSG00000196656.7	852.23	590.277	0.529	2.98E-11	10.5257837359237
AC004066.2	ENSG00000216425.4	0.04	0	0.057	0.0129	1.88941028970075
AC004066.3	ENSG00000250522.1	0.32	0	0.401	1.09E-34	33.9625735020594
AC004067.5	ENSG00000273447.1	0.19	0.43	-0.265	4.35E-40	-39.3615107430454
AC004069.2	ENSG00000251259.1	0.3	0.635	-0.331	4.11E-28	-27.3861581781239
AC004076.5	ENSG00000276449.1	0.16	0.3	-0.164	9.04E-22	-21.0438315695246
AC004076.9	ENSG00000268163.1	0.44	0.47	-0.03	0.124	-0.906578314837765
AC004156.3	ENSG00000267666.2	0.11	0.09	0.026	2.23E-06	5.65169513695184
AC004231.2	ENSG00000234477.1	0	0.08	-0.111	2.86E-30	-29.543633966871
AC004237.1	ENSG00000230612.3	0.06	0.19	-0.167	5.98E-31	-30.2232988160116
AC004381.6	ENSG00000005189.19	6.405	5.345	0.223	1.97E-07	6.70553377383841
AC004381.7	ENSG00000260510.1	0	0.11	-0.151	0.000554	-3.25649023527157
AC004383.3	ENSG00000226107.1	0.16	0.27	-0.131	1.13E-08	-7.94692155651658
AC004448.2	ENSG00000227078.1	0	0.595	-0.674	1.04E-68	-67.9829666607012
AC004448.5	ENSG00000235979.8	0	0.36	-0.444	3.42E-58	-57.4659738939439
AC004449.6	ENSG00000261204.1	0.1	0.2	-0.126	1.13E-12	-11.9469215565166
AC004453.8	ENSG00000146677.7	3.83	4.075	-0.071	0.785	-0.105130343254747
AC004471.10	ENSG00000272682.1	0.11	0.18	-0.088	1.76E-23	-22.7544873321858
AC004471.9	ENSG00000223461.1	0.35	0.405	-0.058	0.0482	-1.31695296176115
AC004490.1	ENSG00000267122.1	0.01	0.04	-0.042	3.91E-46	-45.4078232426041
AC004538.3	ENSG00000230333.6	0.13	0.515	-0.423	3.4E-41	-40.4685210829577
AC004540.4	ENSG00000225792.1	0.995	0.44	0.47	2.04E-08	7.6903698325741
AC004540.5	ENSG00000214870.8	3.315	1.125	1.022	9.74E-38	37.0114410431214
AC004623.3	ENSG00000279488.1	0.26	1.37	-0.911	1.32E-69	-68.8794260687942
AC004637.1	ENSG00000267304.1	0	0.24	-0.31	4.77E-52	-51.3214816209599
AC004754.3	ENSG00000269881.1	0.48	0.705	-0.204	3.36E-17	-16.4736607226102
AC004775.5	ENSG00000272203.1	0.04	0.255	-0.271	4.54E-26	-25.3429441471429
AC004791.2	ENSG00000267453.6	0.1	0.565	-0.509	9.89E-51	-50.0048037084028
AC004837.5	ENSG00000228554.1	0.04	0.09	-0.068	9.25E-20	-19.033858267261
AC004854.4	ENSG00000234183.1	1.045	0	1.032	7.93E-15	14.1007268126824
AC004870.5	ENSG00000214754.3	0	0.03	-0.043	4.82E-12	-11.3169529617611
AC004893.10	ENSG00000238109.1	0.02	0.1	-0.109	2.4E-55	-54.6197887582884
AC004893.11	ENSG00000242687.2	3.81	4.605	-0.221	4.41E-06	-5.35556141053216
AC004947.2	ENSG00000233760.1	0.47	0.285	0.194	1.47E-09	8.83268266525182
AC004951.6	ENSG00000228434.1	0.43	0.86	-0.379	2.45E-31	-30.6108339156355
AC004967.7	ENSG00000243554.1	1.65	0.83	0.534	1.3E-40	39.8860566476932
AC004980.10	ENSG00000214243.3	0.23	0.46	-0.247	8.21E-26	-25.0856568428806
AC004980.7	ENSG00000205485.13	1.92	3.31	-0.562	2.32E-21	-20.6345120151091
AC004980.9	ENSG00000230305.2	1.235	1.015	0.149	0.00205	2.68824613894425
AC004985.12	ENSG00000241057.1	0.12	0.2	-0.1	1.18E-13	-12.9281179926939
AC004987.9	ENSG00000233225.3	1.66	0.87	0.508	1.19E-15	14.9244530386075
AC004988.1	ENSG00000203446.2	0.03	0	0.043	0.00061	3.21467016498923
AC005009.2	ENSG00000233073.1	0.09	0.175	-0.108	3.82E-09	-8.41793663708829
AC005013.5	ENSG00000228421.2	0	0.1	-0.138	6.61E-24	-23.1797985405144
AC005014.5	ENSG00000224280.1	0	0.01	-0.014	2.37E-23	-22.6252516539899
AC005037.3	ENSG00000183308.6	0.29	0.22	0.08	0.00299	2.52432881167557
AC005042.2	ENSG00000227331.1	0.03	0.07	-0.055	8.2E-24	-23.0861861476163
AC005042.4	ENSG00000204380.4	0.31	1.655	-1.019	2.51E-66	-65.600326278519
AC005062.2	ENSG00000243004.5	8.19	6.655	0.264	0.000662	3.1791420105603
AC005076.5	ENSG00000224046.1	1.815	1.305	0.288	3.4E-14	13.4685210829577
AC005077.14	ENSG00000230882.1	5.85	4.53	0.309	0.0138	1.86012091359876
AC005077.7	ENSG00000224273.1	0.06	0	0.084	7.81E-09	8.1073489661227
AC005082.12	ENSG00000226816.2	0.11	0.275	-0.2	6.94E-38	-37.1586405295451
AC005083.1	ENSG00000233834.6	0.57	0.87	-0.252	9.75E-07	-6.01099538430146
AC005104.3	ENSG00000223374.1	0.5	3.26	-1.506	2.42E-68	-67.6161846340196
AC005154.6	ENSG00000196295.11	13.28	44.983	-1.687	2.85E-44	-43.5451551399915
AC005154.7	ENSG00000244480.1	0.44	2.11	-1.111	8.61E-63	-62.0649968485463
AC005154.8	ENSG00000226874.1	0.18	0.33	-0.173	5.09E-15	-14.2932822176632
AC005224.2	ENSG00000231595.1	0.31	0.495	-0.191	4.76E-30	-29.3223930472795
AC005237.4	ENSG00000225521.1	0.23	0.39	-0.176	1.5E-21	-20.8239087409443
AC005251.3	ENSG00000219451.3	0.62	0.405	0.205	4.94E-07	6.30627305107635
AC005253.2	ENSG00000268030.1	0.71	3.654	-1.445	1.26E-68	-67.8996294548824
AC005255.3	ENSG00000256210.3	3.72	0	2.239	1.8E-49	48.7447274948967
AC005262.2	ENSG00000267688.1	0.08	0.215	-0.17	6.44E-14	-13.1911141326402
AC005262.3	ENSG00000267139.1	0.03	0.01	0.028	0.0157	1.80410034759077
AC005264.2	ENSG00000267551.3	0	0.02	-0.029	1.92E-26	-25.7166987712964
AC005281.1	ENSG00000226690.6	0.06	0	0.084	1.98E-13	12.7033348097385
AC005281.2	ENSG00000225606.1	0.02	0	0.029	0.0674	1.17134010346468
AC005306.3	ENSG00000267283.1	0.74	2.185	-0.872	6.46E-19	-18.1897674820049
AC005329.7	ENSG00000248015.6	0.55	0.59	-0.037	0.0539	-1.26841123481326
AC005330.2	ENSG00000267372.2	0.04	0.09	-0.068	4.87E-08	-7.31247103878537
AC005336.4	ENSG00000267056.2	0.775	1.275	-0.358	0.058	-1.23657200643706
AC005336.5	ENSG00000267218.2	0.805	5.294	-1.802	3.33E-15	-14.4775557664937
AC005339.2	ENSG00000268565.1	1.23	2.11	-0.48	1.92E-06	-5.71669877129645
AC005355.2	ENSG00000251169.2	0.07	0.05	0.027	0.00601	2.22112552799726
AC005355.3	ENSG00000280420.1	0.06	0.12	-0.079	2.36E-12	-11.6270879970299
AC005363.9	ENSG00000255513.1	0.17	0.474	-0.334	3.48E-10	-9.45842075605342
AC005387.2	ENSG00000269191.1	0.08	0.37	-0.343	2.44E-40	-39.6126101736613
AC005387.3	ENSG00000268938.2	0.1	0.31	-0.252	2.79E-22	-21.5543957967264
AC005481.5	ENSG00000222012.1	0.04	0.1	-0.081	8.99E-18	-17.0462403082668
AC005488.11	ENSG00000205584.6	0.03	0.07	-0.055	0.000143	-3.84466396253494
AC005498.3	ENSG00000267421.6	2.7	1.69	0.46	5.41E-19	18.2668027348934
AC005498.4	ENSG00000267224.1	0.16	0.26	-0.119	1.13E-09	-8.94692155651658
AC005517.3	ENSG00000223878.1	0.52	2.76	-1.307	3.51E-52	-51.4546928835342
AC005518.2	ENSG00000230190.1	0.05	0	0.07	0.00628	2.2020403562628
AC005519.4	ENSG00000258559.2	0.36	3.4	-1.694	2.68E-85	-84.5718652059712
AC005523.2	ENSG00000269604.1	17.09	11.65	0.516	1.58E-31	30.8013429130456
AC005523.3	ENSG00000268536.1	0.16	0.295	-0.159	1.65E-11	-10.7825160557861
AC005534.6	ENSG00000234450.1	0.13	0.15	-0.025	0.196	-0.707743928643524
AC005537.2	ENSG00000232006.8	0.32	0.545	-0.227	0.00436	-2.36051351073141
AC005538.3	ENSG00000279809.1	2.51	0.7	1.046	1.63E-31	30.787812395596
AC005538.5	ENSG00000237581.1	0.19	0	0.251	1.7E-07	6.76955107862173
AC005540.3	ENSG00000235852.1	0.04	0.01	0.042	0.00371	2.43062609038495
AC005550.3	ENSG00000237070.1	0	0.01	-0.014	1.24E-07	-6.90657831483777
AC005562.1	ENSG00000214719.11	6.11	4.17	0.46	1.36E-15	14.8664610916298
AC005578.3	ENSG00000280247.1	0.07	0.04	0.041	3.23E-07	6.4907974776689
AC005592.1	ENSG00000236714.1	0.01	0.1	-0.123	2.6E-45	-44.5850266520292
AC005592.2	ENSG00000231185.6	0.08	0.22	-0.176	2.82E-07	-6.54975089168064
AC005592.3	ENSG00000261757.1	0	0.04	-0.057	5.47E-30	-29.2620126736666
AC005593.2	ENSG00000279584.1	0.1	0.07	0.04	0.0946	1.02410886359821
AC005606.14	ENSG00000261790.1	0	0.285	-0.362	1.24E-09	-8.90657831483776
AC005606.15	ENSG00000260107.1	0.27	0.365	-0.104	0.908	-0.041914151478915
AC005609.16	ENSG00000279726.1	0.025	0	0.036	5.2E-07	6.2839966563652
AC005609.18	ENSG00000278915.1	0.07	0	0.098	1.71E-06	5.76700388960785
AC005609.20	ENSG00000278946.1	0.125	0.065	0.079	3.04E-06	5.51712641639125
AC005614.3	ENSG00000269296.1	0.01	0	0.014	0.000599	3.22257317761069
AC005618.6	ENSG00000272070.1	0.63	0.445	0.174	1.34E-06	5.87289520163519
AC005618.8	ENSG00000280026.1	0.68	0.07	0.651	1.83E-19	18.7375489102696
AC005625.1	ENSG00000266963.1	0.06	0	0.084	0.526	0.279014255846261
AC005682.5	ENSG00000228649.8	0.54	1.59	-0.75	1.98E-45	-44.7033348097385
AC005682.6	ENSG00000226329.2	0.11	0.16	-0.064	9.85E-06	-5.00656376950239
AC005740.3	ENSG00000226040.3	0.07	0.065	0.007	0.191	0.718966632752272
AC005740.6	ENSG00000271871.1	0.26	0.705	-0.436	5.16E-44	-43.2873502983728
AC005752.10	ENSG00000277795.1	0.02	0.07	-0.069	4.35E-30	-29.3615107430454
AC005753.1	ENSG00000278925.1	0.11	0.51	-0.444	4.56E-56	-55.3410351573356
AC005754.7	ENSG00000272154.4	0.25	0.12	0.158	6.64E-09	8.17783192063198
AC005754.8	ENSG00000272108.1	0.28	0.33	-0.055	0.0597	-1.22402566887063
AC005775.2	ENSG00000266933.2	0.43	0.37	0.062	0.00804	2.09474395125155
AC005779.2	ENSG00000267545.1	0.14	0.095	0.058	0.000244	3.61261017366127
AC005785.2	ENSG00000268189.2	0.39	1.645	-0.928	1.8E-36	-35.7447274948967
AC005785.5	ENSG00000279203.1	0.3	1.23	-0.779	1.95E-56	-55.7099653886375
