Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq CNA	Is Cancer Gene CN(source: OncoKB)
BIN3	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
SPRYD7		13q14.2	HOMDEL	83	16.9%	No
CCAR2	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
PDLIM2	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
RUBCNL	0	13q14.13	HOMDEL	83	16.9%	No
CAB39L		13q14.2	HOMDEL	83	16.9%	No
PEBP4	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
C8ORF58	5.855e-30	8p21.3	HOMDEL	83	16.9%	No
LINC00563	0	13q14.13	HOMDEL	83	16.9%	No
RN7SL700P	0	13q14.2	HOMDEL	83	16.9%	No
BMP1	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
POLR3D	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
GFRA2	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
GUCY1B2		13q14.3	HOMDEL	82	16.7%	No
KPNA3		13q14.2	HOMDEL	82	16.7%	No
LOXL2	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
SFTPC	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
STC1	5.855e-30	8p21.2	HOMDEL	82	16.7%	No
TNFRSF10D	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
TNFRSF10C	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
TNFRSF10B	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
TNFRSF10A	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
SUCLA2	0	13q14.2	HOMDEL	82	16.7%	No
DLEU2		13q14.2	HOMDEL	82	16.7%	No
ENTPD4	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
PHYHIP	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
TRIM13		13q14.2	HOMDEL	82	16.7%	No
DLEU1		13q14.2-q14.3	HOMDEL	82	16.7%	No
FNDC3A		13q14.2	HOMDEL	82	16.7%	No
INTS6		13q14.3	HOMDEL	82	16.7%	No
MED4	0	13q14.2	HOMDEL	82	16.7%	No
RCBTB1		13q14.2	HOMDEL	82	16.7%	No
NUDT15	0	13q14.2	HOMDEL	82	16.7%	No
HR	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
FAM160B2	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
RNASEH2B		13q14.3	HOMDEL	82	16.7%	No
NUDT18	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
REEP4	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
SETDB2		13q14.2	HOMDEL	82	16.7%	Yes
EBPL		13q14.2	HOMDEL	82	16.7%	No
CHMP7	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
ARL11		13q14.2	HOMDEL	82	16.7%	No
WDFY2		13q14.3	HOMDEL	82	16.7%	No
R3HCC1	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
LGI3	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
DLEU7		13q14.3	HOMDEL	82	16.7%	No
RPS4XP16		13q14.3	HOMDEL	82	16.7%	No
KCNRG		13q14.2	HOMDEL	82	16.7%	No
C13ORF42		13q14.3	HOMDEL	82	16.7%	No
SERPINE3		13q14.3	HOMDEL	82	16.7%	No
RNY4P9		13q14.2	HOMDEL	82	16.7%	No
LINC00562	0	13q14.2	HOMDEL	82	16.7%	No
RNY4P30		13q14.2	HOMDEL	82	16.7%	No
RNA5SP28		13q14.3	HOMDEL	82	16.7%	No
RNA5SP29		13q14.3	HOMDEL	82	16.7%	No
RNY1P6		13q14.3	HOMDEL	82	16.7%	No
LINC00444		13q14.2	HOMDEL	82	16.7%	No
RN7SL413P		13q14.3	HOMDEL	82	16.7%	No
RN7SL303P	5.855e-30	8p21.3	HOMDEL	82	16.7%	No
RN7SL320P		13q14.3	HOMDEL	82	16.7%	No
RCBTB2		13q14.2	HOMDEL	81	16.5%	No
RB1		13q14.2	HOMDEL	81	16.5%	Yes
TSC22D1	0	13q14.11	HOMDEL	81	16.5%	No
ITM2B	0	13q14.2	HOMDEL	81	16.5%	No
LPAR6		13q14.2	HOMDEL	81	16.5%	No
ADAM28	5.855e-30	8p21.2	HOMDEL	81	16.5%	No
RHOBTB2	5.855e-30	8p21.3	HOMDEL	81	16.5%	No
ENOX1		13q14.11	HOMDEL	81	16.5%	No
RNLS		10q23.31	HOMDEL	81	16.5%	No
CSGALNACT1		8p21.3	HOMDEL	81	16.5%	No
CYSLTR2		13q14.2	HOMDEL	81	16.5%	Yes
DHRS12		13q14.3	HOMDEL	81	16.5%	No
CDADC1		13q14.2	HOMDEL	81	16.5%	No
LINC00330	0	13q14.12	HOMDEL	81	16.5%	No
FAM124A		13q14.3	HOMDEL	81	16.5%	No
LINC00462		13q14.2	HOMDEL	81	16.5%	No
RB1-DT	0	13q14.2	HOMDEL	81	16.5%	No
ATP6V1B2		8p21.3	HOMDEL	80	16.3%	Yes
ATP7B		13q14.3	HOMDEL	80	16.3%	No
MLNR		13q14.2	HOMDEL	80	16.3%	No
SLC18A1		8p21.3	HOMDEL	80	16.3%	No
ADAM7		8p21.2	HOMDEL	80	16.3%	No
LZTS1		8p21.3	HOMDEL	80	16.3%	No
ADAMDEC1	5.855e-30	8p21.2	HOMDEL	80	16.3%	No
CCDC70		13q14.3	HOMDEL	80	16.3%	No
LINC00284	0	13q14.11	HOMDEL	80	16.3%	No
RNY3P2		13q14.2	HOMDEL	80	16.3%	No
LPL		8p21.3	HOMDEL	79	16.1%	No
NEK3		13q14.3	HOMDEL	79	16.1%	No
TNFSF11		13q14.11	HOMDEL	79	16.1%	No
UTP14C		13q14.3	HOMDEL	79	16.1%	No
ZNF292	0	6q14.3	HOMDEL	79	16.1%	No
DNAJC15		13q14.11	HOMDEL	79	16.1%	No
SMIM2	0	13q14.11	HOMDEL	79	16.1%	No
EPSTI1		13q14.11	HOMDEL	79	16.1%	No
LACC1	0	13q14.11	HOMDEL	79	16.1%	No
CCDC122		13q14.11	HOMDEL	79	16.1%	No
NEK5		13q14.3	HOMDEL	79	16.1%	No
SERP2	0	13q14.11	HOMDEL	79	16.1%	Yes
ALG11		13q14.3	HOMDEL	79	16.1%	No
LINC00400		13q14.11	HOMDEL	79	16.1%	No
VWA8		13q14.11	HOMDEL	78	15.9%	No
INTS10		8p21.3	HOMDEL	78	15.9%	No
FAM216B		13q14.11	HOMDEL	78	15.9%	No
DGKH		13q14.11	HOMDEL	78	15.9%	No
RN7SL515P		13q14.11	HOMDEL	78	15.9%	No
NEFM		8p21.2	HOMDEL	77	15.7%	No
PPP2R2A		8p21.2	HOMDEL	77	15.7%	Yes
MTRF1		13q14.11	HOMDEL	77	15.7%	No
AKAP11		13q14.11	HOMDEL	77	15.7%	No
RGCC		13q14.11	HOMDEL	77	15.7%	No
SH2D4A		8p21.3	HOMDEL	77	15.7%	No
NAA16		13q14.11	HOMDEL	77	15.7%	No
KBTBD7		13q14.11	HOMDEL	77	15.7%	No
NEFL		8p21.2	HOMDEL	76	15.4%	No
TMPRSS2	0	21q22.3	HOMDEL	76	15.4%	Yes
SLC25A15		13q14.11	HOMDEL	76	15.4%	No
MRPS31		13q14.11	HOMDEL	76	15.4%	No
WBP4		13q14.11	HOMDEL	76	15.4%	No
EBF2		8p21.2	HOMDEL	76	15.4%	No
KBTBD6		13q14.11	HOMDEL	76	15.4%	No
SDAD1P1		8p21.2	HOMDEL	76	15.4%	No
SUGT1P3		13q14.11	HOMDEL	76	15.4%	No
TPTE2P5		13q14.11	HOMDEL	76	15.4%	No
RNA5SP258		8p21.2	HOMDEL	76	15.4%	No
RN7SL597P		13q14.11	HOMDEL	76	15.4%	No
BNIP3L		8p21.2	HOMDEL	75	15.2%	No
DPYSL2		8p21.2	HOMDEL	75	15.2%	No
ELF1		13q14.11	HOMDEL	75	15.2%	No
FOXO1		13q14.11	HOMDEL	75	15.2%	Yes
GNRH1		8p21.2	HOMDEL	75	15.2%	No
DOCK5		8p21.2	HOMDEL	75	15.2%	No
NAT1		8p22	HOMDEL	74	15.0%	No
NAT2		8p22	HOMDEL	74	15.0%	No
ADRA1A		8p21.2	HOMDEL	74	15.0%	No
PCDH8		13q14.3	HOMDEL	74	15.0%	No
CASP8AP2		6q15	HOMDEL	74	15.0%	No
OLFM4		13q14.3	HOMDEL	74	15.0%	No
PNMA2		8p21.2	HOMDEL	74	15.0%	No
SUGT1		13q14.3	HOMDEL	74	15.0%	No
CNMD		13q14.3	HOMDEL	74	15.0%	No
ANKRD6		6q15	HOMDEL	74	15.0%	No
MDN1		6q15	HOMDEL	74	15.0%	No
PSD3		8p22	HOMDEL	74	15.0%	No
KCTD9		8p21.2	HOMDEL	74	15.0%	No
LYRM2		6q15	HOMDEL	74	15.0%	No
CDCA2		8p21.2	HOMDEL	74	15.0%	No
EPHA7		6q16.1	HOMDEL	73	14.8%	Yes
GABRR2		6q15	HOMDEL	73	14.8%	No
MAP3K7		6q15	HOMDEL	73	14.8%	Yes
CKAP2		13q14.3	HOMDEL	73	14.8%	No
VPS36		13q14.3	HOMDEL	73	14.8%	No
THSD1		13q14.3	HOMDEL	73	14.8%	No
SMIM8		6q15	HOMDEL	73	14.8%	No
HNRNPA1L2		13q14.3	HOMDEL	73	14.8%	No
LINC00598		13q14.11	HOMDEL	73	14.8%	No
RNY4P24		13q14.3	HOMDEL	73	14.8%	No
RNY3P9		13q14.11	HOMDEL	73	14.8%	No
RN7SKP2		13q14.11	HOMDEL	73	14.8%	No
LINC00332		13q14.11	HOMDEL	73	14.8%	No
LINC00345		13q14.3	HOMDEL	73	14.8%	No
ASAH1		8p22	HOMDEL	72	14.6%	No
CGA		6q14.3	HOMDEL	72	14.6%	No
GABRR1		6q15	HOMDEL	72	14.6%	No
TRIM35		8p21.2	HOMDEL	72	14.6%	No
BACH2		6q15	HOMDEL	72	14.6%	Yes
STMN4		8p21.2	HOMDEL	72	14.6%	No
PM20D2		6q15	HOMDEL	72	14.6%	No
GJB7		6q14.3-q15	HOMDEL	72	14.6%	No
LINC00558		13q14.3	HOMDEL	72	14.6%	No
RN7SKP209		6q14.3	HOMDEL	72	14.6%	No
RN7SL11P		6q15	HOMDEL	72	14.6%	No
RN7SL618P		13q14.3	HOMDEL	72	14.6%	No
RN7SKP110		6q15	HOMDEL	72	14.6%	No
PTK2B		8p21.2	HOMDEL	71	14.4%	No
LHFPL6		13q13.3-q14.11	HOMDEL	71	14.4%	No
SLC35A1		6q15	HOMDEL	71	14.4%	No
UBE2J1		6q15	HOMDEL	71	14.4%	No
COG6		13q14.11	HOMDEL	71	14.4%	No
RRAGD		6q15	HOMDEL	71	14.4%	No
PROSER1		13q13.3	HOMDEL	71	14.4%	No
GJA10		6q15	HOMDEL	71	14.4%	No
SGCZ		8p22	HOMDEL	71	14.4%	No
CFAP206		6q15	HOMDEL	71	14.4%	No
C6ORF163		6q15	HOMDEL	71	14.4%	No
RNY4P14		13q14.11	HOMDEL	71	14.4%	No
LINC00458		13q14.3	HOMDEL	71	14.4%	No
CHRNA2		8p21.2	HOMDEL	70	14.2%	No
CLU		8p21.1	HOMDEL	70	14.2%	No
EPHX2		8p21.2-p21.1	HOMDEL	70	14.2%	No
FGL1		8p22	HOMDEL	70	14.2%	No
PCM1		8p22	HOMDEL	70	14.2%	Yes
PDGFRL		8p22	HOMDEL	70	14.2%	No
RNGTT		6q15	HOMDEL	70	14.2%	No
PNRC1		6q15	HOMDEL	70	14.2%	Yes
AKIRIN2		6q15	HOMDEL	70	14.2%	No
MTUS1		8p22	HOMDEL	70	14.2%	No
LINC01590		6q15	HOMDEL	70	14.2%	No
SPACA1		6q15	HOMDEL	70	14.2%	No
SRSF12		6q15	HOMDEL	70	14.2%	No
FREM2		13q13.3	HOMDEL	70	14.2%	No
SNHG5		6q14.3	HOMDEL	70	14.2%	No
NHLRC3		13q13.3	HOMDEL	70	14.2%	No
KLLN	0	10q23.31	HOMDEL	70	14.2%	No
RNA5SP256		8p22	HOMDEL	70	14.2%	No
RN7SL336P		6q15	HOMDEL	70	14.2%	No
RN7SL415P		6q15	HOMDEL	70	14.2%	No
RN7SL183P		6q15	HOMDEL	70	14.2%	No
CNR1		6q15	HOMDEL	69	14.0%	No
HTR1E		6q14.3	HOMDEL	69	14.0%	No
ORC3		6q15	HOMDEL	69	14.0%	No
RARS2		6q15	HOMDEL	69	14.0%	No
FAXC		6q16.2	HOMDEL	69	14.0%	No
STOML3		13q13.3	HOMDEL	69	14.0%	No
RN7SL643P		6q14.3	HOMDEL	69	14.0%	No
NT5E		6q14.3	HOMDEL	68	13.8%	No
SYNCRIP		6q14.3	HOMDEL	68	13.8%	No
ASCC3		6q16.3	HOMDEL	68	13.8%	No
PNISR		6q16.2	HOMDEL	68	13.8%	No
OSTM1		6q21	HOMDEL	68	13.8%	No
SCARA3		8p21.1	HOMDEL	68	13.8%	No
COQ3		6q16.2	HOMDEL	68	13.8%	No
CCDC25		8p21.1	HOMDEL	68	13.8%	No
QRSL1		6q21	HOMDEL	68	13.8%	No
SNX14		6q14.3	HOMDEL	68	13.8%	No
RTN4IP1		6q21	HOMDEL	68	13.8%	No
ATAD1		10q23.31	HOMDEL	68	13.8%	No
USP45		6q16.2	HOMDEL	68	13.8%	No
PRR20A		13q21.1	HOMDEL	68	13.8%	No
ESCO2		8p21.1	HOMDEL	68	13.8%	Yes
PRR20B		13q21.1	HOMDEL	68	13.8%	No
PRR20C		13q21.1	HOMDEL	68	13.8%	No
PRR20D		13q21.1	HOMDEL	68	13.8%	No
PRR20E		13q21.1	HOMDEL	68	13.8%	No
RN7SKP6		13q21.1	HOMDEL	68	13.8%	No
CRYBG1		6q21	HOMDEL	67	13.6%	No
PRDM1		6q21	HOMDEL	67	13.6%	Yes
CCNC		6q16.2	HOMDEL	67	13.6%	No
GRIK2		6q16.3	HOMDEL	67	13.6%	No
SIM1		6q16.3	HOMDEL	67	13.6%	No
NR2E1		6q21	HOMDEL	67	13.6%	No
TUSC3		8p22	HOMDEL	67	13.6%	Yes
SNX3		6q21	HOMDEL	67	13.6%	No
CD164		6q21	HOMDEL	67	13.6%	No
ATG5		6q21	HOMDEL	67	13.6%	Yes
FUT9		6q16.1	HOMDEL	67	13.6%	No
SEC63		6q21	HOMDEL	67	13.6%	No
CDK19		6q21	HOMDEL	67	13.6%	No
SESN1		6q21	HOMDEL	67	13.6%	Yes
PCDH17		13q21.1	HOMDEL	67	13.6%	No
NDUFAF4		6q16.1	HOMDEL	67	13.6%	No
SOBP		6q21	HOMDEL	67	13.6%	No
PBK		8p21.1	HOMDEL	67	13.6%	No
PDSS2		6q21	HOMDEL	67	13.6%	No
MANEA		6q16.1	HOMDEL	67	13.6%	No
GPR63		6q16.1	HOMDEL	67	13.6%	No
MCHR2		6q16.2	HOMDEL	67	13.6%	No
KLHL32		6q16.1	HOMDEL	67	13.6%	No
CFL1P1		10q23.31	HOMDEL	67	13.6%	No
CCDC162P		6q21	HOMDEL	67	13.6%	No
AFG1L		6q21	HOMDEL	67	13.6%	No
MMS22L		6q16.1	HOMDEL	67	13.6%	No
SCML4		6q21	HOMDEL	67	13.6%	No
CEP57L1		6q21	HOMDEL	67	13.6%	No
PPIL6		6q21	HOMDEL	67	13.6%	No
SCARA5		8p21.1	HOMDEL	67	13.6%	No
C6ORF183		6q21	HOMDEL	67	13.6%	No
TSTD3		6q16.2	HOMDEL	67	13.6%	No
RNA5SP211		6q21	HOMDEL	67	13.6%	No
RNA5SP212		6q21	HOMDEL	67	13.6%	No
RN7SKP211		6q21	HOMDEL	67	13.6%	No
RN7SL47P		6q21	HOMDEL	67	13.6%	No
RN7SL509P		6q16.1	HOMDEL	67	13.6%	No
RN7SL78P		10q23.31	HOMDEL	67	13.6%	No
AMD1		6q21	HOMDEL	66	13.4%	No
FOXO3		6q21	HOMDEL	66	13.4%	Yes
GPR6		6q21	HOMDEL	66	13.4%	No
PREP		6q21	HOMDEL	66	13.4%	No
SLC7A2		8p22	HOMDEL	66	13.4%	No
SMPD2		6q21	HOMDEL	66	13.4%	No
WASF1		6q21	HOMDEL	66	13.4%	No
TBX18		6q14.3	HOMDEL	66	13.4%	No
MTMR7		8p22	HOMDEL	66	13.4%	No
FHL5		6q16.1	HOMDEL	66	13.4%	No
ZBTB24		6q21	HOMDEL	66	13.4%	No
FIG4		6q21	HOMDEL	66	13.4%	No
CEP162		6q14.2-q14.3	HOMDEL	66	13.4%	No
UFL1		6q16.1	HOMDEL	66	13.4%	No
C6ORF203		6q21	HOMDEL	66	13.4%	No
CDC40		6q21	HOMDEL	66	13.4%	No
BEND3		6q21	HOMDEL	66	13.4%	No
PRDM13		6q16.2	HOMDEL	66	13.4%	No
MICAL1		6q21	HOMDEL	66	13.4%	No
ARMC2		6q21	HOMDEL	66	13.4%	No
SLC22A16		6q21|6q21-q22.1	HOMDEL	66	13.4%	No
AK9		6q21	HOMDEL	66	13.4%	No
LINC00222		6q21	HOMDEL	66	13.4%	No
LIN28B		6q16.3-q21	HOMDEL	66	13.4%	No
ZNF259P1		6q21	HOMDEL	66	13.4%	No
LIN28B-AS1		6q16.3	HOMDEL	66	13.4%	No
LINC00366		13q13.3	HOMDEL	66	13.4%	No
RN7SL617P		6q21	HOMDEL	66	13.4%	No
ERG	1.433e-41	21q22.2	HOMDEL	65	13.2%	Yes
HDAC2		6q21	HOMDEL	65	13.2%	No
MSR1		8p22	HOMDEL	65	13.2%	No
DDO		6q21	HOMDEL	65	13.2%	No
BVES		6q21	HOMDEL	65	13.2%	No
CYB5R4		6q14.2	HOMDEL	65	13.2%	No
ZDHHC2		8p22	HOMDEL	65	13.2%	No
UFM1		13q13.3	HOMDEL	65	13.2%	No
HACE1		6q16.3	HOMDEL	65	13.2%	No
POPDC3		6q21	HOMDEL	65	13.2%	No
GTF3C6		6q21	HOMDEL	65	13.2%	No
MRAP2		6q14.2	HOMDEL	65	13.2%	No
SLC16A10		6q21	HOMDEL	65	13.2%	No
NUGGC		8p21.1	HOMDEL	65	13.2%	No
METTL24		6q21	HOMDEL	65	13.2%	No
RN7SL797P		6q16.1	HOMDEL	65	13.2%	No
FYN		6q21	HOMDEL	64	13.0%	Yes
MARCKS		6q21	HOMDEL	64	13.0%	No
REV3L		6q21	HOMDEL	64	13.0%	No
FBXL4		6q16.1-q16.2	HOMDEL	64	13.0%	No
CNOT7		8p22	HOMDEL	64	13.0%	No
DIAPH3		13q21.2	HOMDEL	64	13.0%	No
RPF2		6q21	HOMDEL	64	13.0%	No
VPS37A		8p22	HOMDEL	64	13.0%	No
HS3ST5		6q21-q22.1	HOMDEL	64	13.0%	No
RFPL4B		6q21	HOMDEL	64	13.0%	No
RNA5SP30		13q21.1	HOMDEL	64	13.0%	No
LINC00571		13q13.3	HOMDEL	64	13.0%	No
LAMA4		6q21	HOMDEL	63	12.8%	No
PCDH9	1.711e-36	13q21.32	HOMDEL	63	12.8%	No
POU3F2		6q16.1	HOMDEL	63	12.8%	No
CCN6		6q21	HOMDEL	63	12.8%	Yes
DLC1		8p22	HOMDEL	63	12.8%	No
TRAF3IP2		6q21	HOMDEL	63	12.8%	No
TUBE1		6q21	HOMDEL	63	12.8%	No
MFSD4B		6q21	HOMDEL	63	12.8%	No
LIPJ		10q23.31	HOMDEL	63	12.8%	No
MICU3		8p22	HOMDEL	63	12.8%	No
FAM229B		6q21	HOMDEL	63	12.8%	No
TRAF3IP2-AS1		6q21	HOMDEL	63	12.8%	No
RNY4P29		13q21.1	HOMDEL	63	12.8%	No
RN7SL375P		13q21.2	HOMDEL	63	12.8%	No
ELP3		8p21.1	HOMDEL	62	12.6%	No
TDRD3	1.711e-36	13q21.2	HOMDEL	62	12.6%	No
RNA5SP31	1.711e-36	13q21.2	HOMDEL	62	12.6%	No
RNA5SP213		6q22.1	HOMDEL	62	12.6%	No
RNY4P28	1.711e-36	13q21.2	HOMDEL	62	12.6%	No
LINC00434	1.711e-36	13q21.2	HOMDEL	62	12.6%	No
TRPC4		13q13.3	HOMDEL	61	12.4%	No
FGF20		8p22	HOMDEL	61	12.4%	No
TRMT9B		8p22	HOMDEL	61	12.4%	No
RIPPLY2		6q14.2	HOMDEL	61	12.4%	No
C8ORF48		8p22	HOMDEL	61	12.4%	No
RNA5SP26		13q13.3	HOMDEL	61	12.4%	No
RN7SL474P		8p22	HOMDEL	61	12.4%	No
DSCAM		21q22.2	HOMDEL	60	12.2%	No
EXTL3		8p21.1	HOMDEL	60	12.2%	No
ME1		6q14.2	HOMDEL	60	12.2%	No
MX2		21q22.3	HOMDEL	60	12.2%	No
PNOC		8p21.1	HOMDEL	60	12.2%	No
SNAP91		6q14.2	HOMDEL	60	12.2%	No
ZNF395		8p21.1	HOMDEL	60	12.2%	No
PCDH20	1.711e-36	13q21.2	HOMDEL	60	12.2%	No
UBE3D		6q14.1	HOMDEL	60	12.2%	No
LINC00355	1.711e-36	13q21.31	HOMDEL	60	12.2%	No
FBXO16		8p21.1	HOMDEL	60	12.2%	No
RNY4P31	1.711e-36	13q21.2	HOMDEL	60	12.2%	No
RNA5SP255		8p22	HOMDEL	60	12.2%	No
RNY3P5	1.711e-36	13q21.2	HOMDEL	60	12.2%	No
LINC00358	1.711e-36	13q21.31	HOMDEL	60	12.2%	No
LINC00395	1.711e-36	13q21.31	HOMDEL	60	12.2%	No
LINC00378	1.711e-36	13q21.2	HOMDEL	60	12.2%	No
CTSB		8p23.1	HOMDEL	59	12.0%	No
ETS2		21q22.2	HOMDEL	59	12.0%	No
FDFT1		8p23.1	HOMDEL	59	12.0%	No
MX1		21q22.3	HOMDEL	59	12.0%	No
PGM3		6q14.1	HOMDEL	59	12.0%	No
FZD3		8p21.1	HOMDEL	59	12.0%	No
POSTN		13q13.3	HOMDEL	59	12.0%	No
DOP1A		6q14.1	HOMDEL	59	12.0%	No
KIF13B		8p12	HOMDEL	59	12.0%	No
FAM3B		21q22.3	HOMDEL	59	12.0%	No
INTS9		8p21.1	HOMDEL	59	12.0%	No
FAM86B1		8p23.1	HOMDEL	59	12.0%	No
RWDD2A		6q14.1	HOMDEL	59	12.0%	No
PRSS35		6q14.2	HOMDEL	59	12.0%	No
DEFB130A		8p23.1	HOMDEL	59	12.0%	No
USP17L2		8p23.1	HOMDEL	59	12.0%	No
LINC00114	1.433e-41	21q22.2	HOMDEL	59	12.0%	No
DEFB135		8p23.1	HOMDEL	59	12.0%	No
DEFB136		8p23.1	HOMDEL	59	12.0%	No
DEFB134		8p23.1	HOMDEL	59	12.0%	No
FAM86B2		8p23.1	HOMDEL	59	12.0%	No
ZNF705D		8p23.1	HOMDEL	59	12.0%	No
FAM66D		8p23.1	HOMDEL	59	12.0%	No
FAM66A		8p23.1	HOMDEL	59	12.0%	No
RNA5SP259		8p21.1	HOMDEL	59	12.0%	No
LINC00448	1.711e-36	13q21.31	HOMDEL	59	12.0%	No
LINC00459	1.711e-36	13q21.31	HOMDEL	59	12.0%	No
LINC00681		8p23.1-p22	HOMDEL	59	12.0%	No
RNA5SP253		8p23.1	HOMDEL	59	12.0%	No
RNA5SP254		8p23.1	HOMDEL	59	12.0%	No
BLK		8p23.1	HOMDEL	58	11.8%	No
DUSP4		8p12	HOMDEL	58	11.8%	Yes
GATA4		8p23.1	HOMDEL	58	11.8%	Yes
TPBG		6q14.1	HOMDEL	58	11.8%	No
PSMG1		21q22.2	HOMDEL	58	11.8%	No
BACE2		21q22.2-q22.3	HOMDEL	58	11.8%	No
IBTK		6q14.1	HOMDEL	58	11.8%	No
BRWD1		21q22.2	HOMDEL	58	11.8%	No
FAM167A		8p23.1	HOMDEL	58	11.8%	No
LINC00208		8p23.1	HOMDEL	58	11.8%	No
LONRF1		8p23.1	HOMDEL	58	11.8%	No
XKR6		8p23.1	HOMDEL	58	11.8%	No
LINC02209		8p12	HOMDEL	58	11.8%	No
LINC00364	1.711e-36	13q21.32	HOMDEL	58	11.8%	No
PCP4		21q22.2	HOMDEL	57	11.6%	No
HMBOX1		8p21.1-p12	HOMDEL	57	11.6%	No
LINC00529		8p23-p22	HOMDEL	57	11.6%	No
FAM167A-AS1		8p23.1	HOMDEL	57	11.6%	No
TDH		8p23.1	HOMDEL	57	11.6%	No
LINC00323		21q22.2	HOMDEL	57	11.6%	No
LINC00589		8p12	HOMDEL	57	11.6%	No
RNA5SP260		8p12	HOMDEL	57	11.6%	No
RN7SL293P		8p23.1	HOMDEL	57	11.6%	No
FRK		6q22.1	HOMDEL	56	11.4%	No
SMAD9		13q13.3	HOMDEL	56	11.4%	No
MSRA		8p23.1	HOMDEL	56	11.4%	No
EXOSC8		13q13.3	HOMDEL	56	11.4%	No
ALG5		13q13.3	HOMDEL	56	11.4%	No
PINX1		8p23.1	HOMDEL	56	11.4%	No
SUPT20H		13q13.3	HOMDEL	56	11.4%	No
KLHL1	1.711e-36	13q21.33	HOMDEL	56	11.4%	No
CSMD1		8p23.2	HOMDEL	56	11.4%	No
MTMR9		8p23.1	HOMDEL	56	11.4%	No
SOX7		8p23.1	HOMDEL	56	11.4%	No
SLC35G5		8p23.1	HOMDEL	56	11.4%	No
CSNK1A1L		13q13.3	HOMDEL	56	11.4%	No
IGSF5		21q22.2	HOMDEL	56	11.4%	No
NEIL2		8p23.1	HOMDEL	56	11.4%	No
PRSS51		8p23.1	HOMDEL	56	11.4%	No
C8ORF49		8p23.1	HOMDEL	56	11.4%	No
