Gene_name	EnsemblID	Median(Tumor)	Median(Normal)	log2FC	FDR
AC007952.5	ENSG00000228157	0.21	1.81	-1.216	1.44E-128
AC008268.1	ENSG00000235584	0.02	4.38	-2.399	3.40E-126
AC009065.4	ENSG00000279473	1.805	0	1.488	2.13E-68
AC009120.6	ENSG00000259972	3.87	12.27	-1.446	2.48E-84
AC009264.1	ENSG00000234352	1.18	0	1.124	1.45E-92
AC009299.3	ENSG00000227403	4.455	1.395	1.188	1.69E-43
AC009950.2	ENSG00000225963	0.66	2.66	-1.141	1.64E-128
AC010168.1	ENSG00000281457	15.15	47.869	-1.597	2.39E-20
AC010894.3	ENSG00000226853	3.63	1.02	1.197	3.49E-126
AC010976.2	ENSG00000231731	0.82	2.925	-1.109	1.86E-93
AC015849.19	ENSG00000270871	0.33	1.845	-1.097	6.81E-109
AC016292.3	ENSG00000108958	3.16	0.695	1.295	8.36E-146
AC017104.6	ENSG00000224376	0.65	2.575	-1.115	2.77E-140
AC018766.4	ENSG00000267896	2.715	10.92	-1.682	2.45E-87
AC019117.2	ENSG00000236039	0.45	2.67	-1.34	2.90E-63
AC021066.1	ENSG00000281415	1.96	103.181	-5.137	6.36E-41
AC026471.6	ENSG00000260740	0.24	1.76	-1.154	1.80E-97
AC055736.1	ENSG00000280827	70.663	0	6.163	9.92E-57
AC055736.2	ENSG00000280966	3.825	0	2.271	2.20E-52
AC055736.3	ENSG00000281194	326.932	0	8.357	5.44E-67
AC058791.1	ENSG00000226380	0.2	1.43	-1.018	1.33E-85
AC068580.5	ENSG00000229512	0	2.345	-1.742	4.32E-105
AC068580.6	ENSG00000235027	0.63	4.86	-1.846	7.69E-133
AC068831.15	ENSG00000259661	4.64	18.375	-1.78	2.06E-73
AC068831.16	ENSG00000278514	1.035	0	1.025	4.20E-113
AC073850.6	ENSG00000229436	0	1.76	-1.465	1.01E-116
AC074286.1	ENSG00000213963	5.525	1.36	1.467	3.23E-54
AC074289.1	ENSG00000225889	2.96	7.86	-1.162	3.20E-26
AC079630.2	ENSG00000223914	0.14	1.815	-1.304	1.35E-55
AC079630.4	ENSG00000225342	0.53	7.44	-2.464	1.56E-121
AC079781.7	ENSG00000232032	0	1.425	-1.278	2.20E-47
AC083843.1	ENSG00000259820	0.675	3.96	-1.566	3.71E-130
AC083843.4	ENSG00000279518	0.2	1.825	-1.235	9.36E-116
AC090616.2	ENSG00000214708	0.15	3.295	-1.901	1.91E-129
AC093110.3	ENSG00000238018	0.505	12.93	-3.21	0.00E+00
AC093495.4	ENSG00000228242	1.235	8.67	-2.113	4.03E-205
AC093642.3	ENSG00000237940	0.365	1.735	-1.003	4.10E-52
AC093838.4	ENSG00000152117	6.605	15.555	-1.122	5.14E-50
AC093850.2	ENSG00000230838	2.145	0.13	1.477	2.04E-88
AC098973.2	ENSG00000225548	15.625	0	4.055	4.49E-171
AC104654.2	ENSG00000234362	0.235	1.56	-1.052	3.63E-97
AC108488.4	ENSG00000242282	2.24	7	-1.304	1.11E-109
AC109642.1	ENSG00000235997	0.3	4.175	-1.993	1.40E-166
AC114730.11	ENSG00000235351	0.385	2.185	-1.201	5.50E-91
AC116366.6	ENSG00000234290	0.32	3.22	-1.677	2.39E-199
AC130469.1	ENSG00000279396	0.12	1.245	-1.003	5.49E-153
AC132008.1	ENSG00000213519	0	1.175	-1.121	3.28E-104
AC132217.4	ENSG00000240801	4.255	11.545	-1.255	4.42E-10
AC137932.4	ENSG00000268218	0.41	1.885	-1.033	1.64E-128
AC137932.5	ENSG00000260279	0.14	1.31	-1.019	3.36E-122
AC137934.1	ENSG00000260923	1.325	4.63	-1.276	2.87E-40
AC138035.2	ENSG00000238035	3.96	18.845	-2	7.00E-91
AC144530.1	ENSG00000234742	2.435	0.37	1.326	7.85E-106
AC144831.1	ENSG00000261888	0.36	2.625	-1.414	2.38E-171
AC145124.2	ENSG00000255495	0.85	3.06	-1.134	1.74E-123
AC147651.4	ENSG00000237181	1.05	4.7	-1.475	1.22E-121
AC156455.1	ENSG00000256546	0.67	2.49	-1.063	3.14E-29
AC159540.1	ENSG00000230606	7.665	24.861	-1.577	6.63E-46
AC234582.1	ENSG00000279487	3.2	16.64	-2.07	1.10E-48
AC239868.2	ENSG00000280874	28.408	10.91	1.304	1.62E-12
AC239868.3	ENSG00000281134	28.408	10.965	1.297	1.71E-12
ACAA1	ENSG00000060971	33.531	75.008	-1.138	1.44E-136
ACAA2	ENSG00000167315	20.664	48.446	-1.191	4.46E-63
ACACB	ENSG00000076555	1.775	12.07	-2.236	9.61E-208
ACAD11	ENSG00000240303	6.675	19.755	-1.435	3.14E-80
ACAD8	ENSG00000151498	10.925	27.58	-1.261	7.05E-106
ACADL	ENSG00000115361	0.68	10.205	-2.738	7.02E-196
ACADVL	ENSG00000072778	177.441	675.774	-1.923	1.31E-123
ACAP1	ENSG00000072818	9.265	30.42	-1.614	2.26E-90
ACAP3	ENSG00000131584	15.86	48.301	-1.548	6.03E-62
ACBD4	ENSG00000181513	4.255	13.9	-1.504	1.42E-137
ACCS	ENSG00000110455	5.22	30.554	-2.343	7.38E-141
ACE	ENSG00000159640	10.53	40.651	-1.853	1.88E-111
ACHE	ENSG00000087085	0.91	3.28	-1.164	5.96E-50
ACKR1	ENSG00000213088	3.87	84.788	-4.139	4.89E-195
ACKR3	ENSG00000144476	77.799	22.465	1.748	3.79E-50
ACKR4	ENSG00000129048	0.735	4.65	-1.703	5.76E-161
ACOT7	ENSG00000097021	44.355	20.075	1.106	1.22E-96
ACOX2	ENSG00000168306	1.985	11.21	-2.032	2.03E-156
ACOXL	ENSG00000153093	0.405	4.31	-1.918	3.01E-138
ACP5	ENSG00000102575	71.505	161.355	-1.163	1.23E-40
ACR	ENSG00000100312	0.195	2.43	-1.521	5.96E-152
ACRBP	ENSG00000111644	1.43	5.975	-1.521	1.74E-114
ACRC	ENSG00000147174	0.43	2.75	-1.391	1.49E-134
ACSF2	ENSG00000167107	17.385	49.924	-1.47	5.32E-91
ACSL1	ENSG00000151726	35.035	156.437	-2.127	1.75E-156
ACSL5	ENSG00000197142	6.535	35.53	-2.277	1.36E-132
ACSM3	ENSG00000005187	2.635	9.82	-1.574	1.90E-59
ACSM5	ENSG00000183549	0.27	2.205	-1.335	4.81E-149
ACSS2	ENSG00000131069	25.365	70.041	-1.43	1.23E-131
ACSS3	ENSG00000111058	1.235	8.365	-2.067	6.22E-160
ACTA1	ENSG00000143632	0.09	4.43	-2.317	1.57E-143
ACTA2	ENSG00000107796	142.611	602.889	-2.072	3.84E-99
ACTA2-AS1	ENSG00000180139	0.63	9.64	-2.707	2.28E-160
ACTC1	ENSG00000159251	0.04	1.295	-1.142	2.05E-97
ACTG2	ENSG00000163017	8.32	89.94	-3.287	7.95E-154
ACTL6A	ENSG00000136518	101.824	24.45	2.014	2.66E-193
ACTN2	ENSG00000077522	0.15	5.915	-2.588	1.06E-217
ACTR3	ENSG00000115091	183.609	72.945	1.32	2.87E-122
ACVRL1	ENSG00000139567	6.59	106.458	-3.824	0.00E+00
ADAM12	ENSG00000148848	6.09	0.825	1.958	2.41E-97
ADAM23	ENSG00000114948	19.751	1.02	3.361	1.17E-86
ADAM33	ENSG00000149451	0.7	22.168	-3.769	2.85E-232
ADAM8	ENSG00000151651	8.92	21.444	-1.178	9.90E-34
ADAMDEC1	ENSG00000134028	5.81	0.65	2.045	6.56E-84
ADAMTS1	ENSG00000154734	11.54	85.585	-2.788	4.01E-146
ADAMTS10	ENSG00000142303	2.15	27.06	-3.155	8.81E-190
ADAMTS15	ENSG00000166106	0.8	6.365	-2.033	1.21E-105
ADAMTS2	ENSG00000087116	6.3	28.62	-2.021	1.42E-81
ADAMTS4	ENSG00000158859	3.1	15.11	-1.974	2.67E-63
ADAMTS7	ENSG00000136378	1.79	5.785	-1.282	2.36E-75
ADAMTS7P3	ENSG00000261143	0.04	18.17	-4.204	4.79E-269
ADAMTS8	ENSG00000134917	0.24	43.443	-5.164	0.00E+00
ADAMTS9	ENSG00000163638	2.36	21.4	-2.737	1.13E-168
ADAMTS9-AS1	ENSG00000241158	0.15	5.405	-2.478	1.10E-274
ADAMTS9-AS2	ENSG00000241684	0.1	2.31	-1.589	7.34E-223
ADAMTSL2	ENSG00000197859	2.405	21.615	-2.732	1.51E-215
ADAMTSL3	ENSG00000156218	0.51	7.57	-2.505	5.17E-210
ADAMTSL4	ENSG00000143382	5.64	71.149	-3.442	8.44E-235
ADAMTSL4-AS1	ENSG00000203804	0.265	1.74	-1.115	1.34E-174
ADARB1	ENSG00000197381	3.88	34.974	-2.882	3.04E-252
ADAT2	ENSG00000189007	3.595	9.71	-1.221	1.11E-76
ADCY10P1	ENSG00000161912	0.6	2.515	-1.135	2.41E-69
ADCY4	ENSG00000129467	2.115	59.19	-4.272	0
ADCY5	ENSG00000173175	1.18	4.785	-1.408	5.67E-55
ADCY6	ENSG00000174233	6.305	26.015	-1.887	5.28E-168
ADCY7	ENSG00000121281	8.3	21.675	-1.286	4.92E-94
ADCY9	ENSG00000162104	4.72	14.46	-1.434	2.86E-139
ADD1	ENSG00000087274	63.875	178.576	-1.469	6.78E-154
ADGRA2	ENSG00000020181	4.805	14.87	-1.451	2.36E-95
ADGRB3	ENSG00000135298	0.07	1.515	-1.233	2.60E-184
ADGRD1	ENSG00000111452	1.275	43.115	-4.277	0.00E+00
ADGRE1	ENSG00000174837	0.405	1.975	-1.082	3.88E-57
ADGRE2	ENSG00000127507	2.645	6.58	-1.056	1.41E-52
ADGRE4P	ENSG00000268758	0.15	2.15	-1.454	9.07E-163
ADGRE5	ENSG00000123146	22.295	99.174	-2.104	2.37E-166
ADGRF4	ENSG00000153294	3.165	0.11	1.908	2.30E-118
ADGRF5	ENSG00000069122	4.91	91.325	-3.966	3.21E-292
ADGRG1	ENSG00000205336	84.062	40.084	1.05	3.73E-40
ADGRG3	ENSG00000182885	0.85	15.7	-3.174	2.49E-173
ADGRG6	ENSG00000112414	2.555	11.79	-1.847	7.37E-99
ADGRL2	ENSG00000117114	11.555	80.573	-2.7	7.10E-180
ADGRL4	ENSG00000162618	4.19	20.37	-2.042	2.96E-200
ADH1B	ENSG00000196616	2.235	365.898	-6.825	0
ADH7	ENSG00000196344	29.494	0.1	4.793	3.68E-94
ADHFE1	ENSG00000147576	2.055	17.56	-2.603	4.41E-165
ADIRF	ENSG00000148671	46.104	228.721	-2.286	5.75E-104
ADIRF-AS1	ENSG00000272734	4.59	16.23	-1.624	4.04E-75
ADM2	ENSG00000128165	2.69	0.56	1.242	3.60E-78
ADM5	ENSG00000224420	0.9	3.175	-1.136	2.87E-63
ADORA2A	ENSG00000128271	3.255	11.1	-1.508	6.03E-128
ADORA2B	ENSG00000170425	8.55	2.83	1.318	1.99E-79
ADPRH	ENSG00000144843	4.105	10.78	-1.206	9.34E-111
ADRA1A	ENSG00000120907	0.01	4.01	-2.31	3.58E-239
ADRA1B	ENSG00000170214	0.14	3.095	-1.845	8.07E-151
ADRA1D	ENSG00000171873	0.12	2.09	-1.464	6.86E-114
ADRA2A	ENSG00000150594	0.81	2.91	-1.111	4.64E-56
ADRA2C	ENSG00000184160	1.11	3.395	-1.059	1.19E-26
ADRB1	ENSG00000043591	0.47	10.71	-2.994	1.39E-260
ADRB2	ENSG00000169252	1.105	8.875	-2.23	9.15E-190
AEBP1	ENSG00000106624	85.674	229.149	-1.409	7.13E-47
AF011889.2	ENSG00000238039	0.39	2.075	-1.146	1.59E-73
AF064858.8	ENSG00000235888	0.23	1.78	-1.176	1.13E-121
AF131215.2	ENSG00000255310	0.77	2.95	-1.158	8.87E-132
AF131215.9	ENSG00000269918	0.59	2.8	-1.257	2.75E-146
AFAP1L1	ENSG00000157510	2.9	16.595	-2.174	3.21E-209
AFF1	ENSG00000172493	7.51	21.105	-1.377	1.22E-132
AFF3	ENSG00000144218	0.31	6.995	-2.61	9.44E-269
AFG3L1P	ENSG00000223959	8.12	21.535	-1.305	1.65E-76
AGAP11	ENSG00000271880	0.24	4.14	-2.051	9.99E-196
AGAP3	ENSG00000133612	46.486	108.978	-1.212	1.85E-89
AGAP4	ENSG00000188234	4.44	13.545	-1.419	1.95E-85
AGAP5	ENSG00000172650	1.78	6.52	-1.436	4.87E-109
AGAP6	ENSG00000204149	5.455	22.229	-1.847	1.25E-110
AGAP9	ENSG00000204172	3.095	11.67	-1.629	2.30E-85
AGER	ENSG00000204305	6.945	718.601	-6.501	1.90E-273
AGO4	ENSG00000134698	6.16	14.365	-1.102	3.75E-99
AGPAT4	ENSG00000026652	2.065	7.095	-1.401	9.59E-111
AGR3	ENSG00000173467	10.17	51.674	-2.237	1.85E-59
AGRP	ENSG00000159723	0.06	1.925	-1.464	1.57E-171
AGT	ENSG00000135744	0.81	3.645	-1.36	2.86E-76
AGTPBP1	ENSG00000135049	4.805	14.245	-1.393	2.89E-170
AGTR1	ENSG00000144891	0.28	10.2	-3.129	0
AGTR2	ENSG00000180772	0.14	1.435	-1.095	1.04E-26
AHCY	ENSG00000101444	156.15	49.275	1.644	2.64E-173
AHCYL2	ENSG00000158467	7.7	28.335	-1.754	2.30E-83
AHI1	ENSG00000135541	4.94	15.64	-1.486	1.92E-119
AHNAK	ENSG00000124942	67.923	158.171	-1.208	1.36E-71
AHNAK2	ENSG00000185567	34.71	4.805	2.621	3.67E-87
AHSA2	ENSG00000173209	19.515	79.349	-1.97	4.72E-67
AIF1	ENSG00000204472	41.091	89.012	-1.097	1.24E-54
AIF1L	ENSG00000126878	4.875	11.345	-1.071	1.43E-42
AIM1L	ENSG00000176092	6.035	1.445	1.525	9.63E-75
AIM2	ENSG00000163568	4.185	1.39	1.117	1.72E-42
AIMP2	ENSG00000106305	31.975	13.614	1.174	8.04E-102
AK1	ENSG00000106992	41.491	156.519	-1.89	2.92E-163
AK4	ENSG00000162433	22.465	1.98	2.977	1.31E-195
AK4P1	ENSG00000263535	4.385	0.485	1.858	1.92E-145
AKAP12	ENSG00000131016	3.09	32.436	-3.031	3.13E-196
AKAP13	ENSG00000170776	23.65	96.385	-1.982	4.68E-196
AKAP17A	ENSG00000197976	14.98	54.6	-1.799	9.00E-109
AKAP2	ENSG00000241978	8.955	68.379	-2.801	4.32E-206
AKAP8L	ENSG00000011243	31.806	86.638	-1.418	5.60E-88
AKAP9	ENSG00000127914	13.135	28.4	-1.057	1.98E-84
AKNA	ENSG00000106948	8.25	36.794	-2.031	1.27E-170
AKR1B10	ENSG00000198074	68.23	0.2	5.85	1.63E-134
AKR1B15	ENSG00000227471	2.415	0.02	1.743	7.22E-81
AKR1C1	ENSG00000187134	229.881	37.37	2.589	9.11E-45
AKR1C2	ENSG00000151632	369.325	22.255	3.993	2.20E-73
AKR1C3	ENSG00000196139	139.865	52.16	1.406	4.04E-15
AKT3	ENSG00000117020	4.28	16.435	-1.723	4.65E-86
AL157871.2	ENSG00000259052	0	1.405	-1.266	2.28E-48
AL158801.1	ENSG00000279392	7.18	0.57	2.381	5.08E-198
AL162151.3	ENSG00000234648	762.027	247.605	1.618	1.36E-09
AL442127.1	ENSG00000278371	0	8.855	-3.301	6.39E-52
AL589743.1	ENSG00000279508	2.765	0.61	1.226	1.08E-55
ALAS2	ENSG00000158578	0.05	1.4	-1.193	7.64E-100
ALB	ENSG00000163631	0.18	1.62	-1.151	1.24E-45
ALDH18A1	ENSG00000059573	35.305	12.545	1.422	2.67E-171
ALDH1A2	ENSG00000128918	1.09	6.73	-1.887	5.60E-137
ALDH2	ENSG00000111275	68.823	230.671	-1.73	1.74E-106
ALDH3A1	ENSG00000108602	53.434	2.825	3.831	2.96E-65
ALDH3B1	ENSG00000006534	5.025	50.744	-3.102	1.45E-188
ALDH3B2	ENSG00000132746	18.775	0.41	3.81	2.13E-215
ALDOA	ENSG00000149925	1871.785	818.505	1.192	2.21E-99
ALDOC	ENSG00000109107	47.14	14.315	1.652	7.20E-80
ALG10	ENSG00000139133	4.205	1.42	1.105	3.28E-136
ALG1L	ENSG00000189366	28.3	0.54	4.25	4.03E-251
ALG3	ENSG00000214160	97.005	28.709	1.722	1.46E-145
ALOX12P2	ENSG00000262943	3.89	1.335	1.066	2.14E-46
ALOX15B	ENSG00000179593	2.945	31.85	-3.058	1.48E-58
ALOX5	ENSG00000012779	11.53	148.713	-3.579	1.79E-227
ALOX5AP	ENSG00000132965	25.664	160.035	-2.594	1.69E-143
ALPK1	ENSG00000073331	5.875	14.14	-1.139	1.42E-110
ALPK3	ENSG00000136383	0.75	5.695	-1.936	3.89E-171
ALPL	ENSG00000162551	14.295	96.753	-2.676	3.59E-69
ALPP	ENSG00000163283	0.08	3.4	-2.026	1.47E-125
ALS2CL	ENSG00000178038	7.7	49.566	-2.539	1.01E-144
ALS2CR12	ENSG00000155749	0.24	1.515	-1.02	1.31E-133
ALYREF	ENSG00000183684	110.56	44.449	1.296	1.71E-133
AMACR	ENSG00000242110	11.755	4.27	1.275	1.56E-92
AMDHD2	ENSG00000162066	11.94	26.105	-1.067	2.77E-47
AMICA1	ENSG00000160593	6.76	43.931	-2.534	2.44E-168
AMIGO2	ENSG00000139211	7.295	15.745	-1.013	5.43E-25
AMOTL2	ENSG00000114019	12.945	38.349	-1.497	1.52E-84
AMPD2	ENSG00000116337	24.905	60.454	-1.246	1.73E-73
AMT	ENSG00000145020	4.075	32.175	-2.709	3.06E-163
AMTN	ENSG00000187689	1.245	0.06	1.083	9.10E-40
AMY2B	ENSG00000240038	2.01	34.724	-3.569	8.72E-216
ANAPC2	ENSG00000176248	17.85	45.839	-1.313	3.33E-88
ANG	ENSG00000214274	6.13	22.645	-1.73	5.55E-150
ANGPT1	ENSG00000154188	1.555	16.59	-2.783	2.00E-206
ANGPTL1	ENSG00000116194	0.39	10.72	-3.076	6.43E-288
ANK2	ENSG00000145362	1.2	5.75	-1.617	3.13E-113
ANKDD1A	ENSG00000166839	2.04	7.02	-1.399	3.41E-120
ANKEF1	ENSG00000132623	4.06	1.1	1.269	9.94E-134
ANKH	ENSG00000154122	39.69	18.75	1.043	5.67E-43
ANKHD1-EIF4EBP3	ENSG00000254996	6.765	15.42	-1.08	3.21E-117
ANKRD1	ENSG00000148677	0.28	23.195	-4.24	1.39E-186
ANKRD10	ENSG00000088448	32.45	102.49	-1.629	2.11E-115
ANKRD10-IT1	ENSG00000229152	2.535	13.19	-2.005	2.51E-118
ANKRD13A	ENSG00000076513	17.655	36.37	-1.002	1.36E-114
ANKRD13D	ENSG00000172932	28.32	57.721	-1.002	1.83E-48
ANKRD18B	ENSG00000230453	1.83	0.055	1.424	3.62E-108
ANKRD20A17P	ENSG00000251056	0.15	1.645	-1.202	2.36E-124
ANKRD22	ENSG00000152766	9.525	1.225	2.242	1.16E-134
ANKRD29	ENSG00000154065	6.675	34.054	-2.191	4.05E-122
ANKRD36	ENSG00000135976	2.5	7.31	-1.247	2.60E-68
ANKRD36B	ENSG00000196912	1.99	6.235	-1.275	4.19E-72
ANKRD44	ENSG00000065413	2.87	13.135	-1.869	3.09E-192
ANKRD9	ENSG00000156381	5.14	13.125	-1.202	6.99E-61
ANKS1A	ENSG00000064999	8.715	20.07	-1.117	6.48E-109
ANKZF1	ENSG00000163516	22.455	55.629	-1.272	8.85E-59
ANLN	ENSG00000011426	19.95	1.045	3.357	8.46E-284
ANO2	ENSG00000047617	0.4	6.105	-2.343	1.42E-211
ANO6	ENSG00000177119	15.06	31.965	-1.037	9.38E-87
ANO8	ENSG00000074855	2.94	8.125	-1.212	2.88E-90
ANPEP	ENSG00000166825	7.18	51.976	-2.695	7.68E-170
ANTXR2	ENSG00000163297	11.825	32.214	-1.373	3.04E-92
ANXA2P2	ENSG00000231991	30.12	11.16	1.356	1.27E-80
ANXA3	ENSG00000138772	21.065	116.937	-2.418	3.95E-131
ANXA5	ENSG00000164111	183.736	398.13	-1.111	4.52E-92
ANXA6	ENSG00000197043	37.484	146.966	-1.943	2.21E-140
ANXA8	ENSG00000265190	71.55	9.2	2.83	2.63E-69
ANXA8L1	ENSG00000264230	39.868	15.64	1.296	9.15E-18
AOAH	ENSG00000136250	6.85	15.685	-1.088	1.64E-36
AOC2	ENSG00000131480	0.42	2.125	-1.138	4.64E-116
AOC3	ENSG00000131471	7.45	214.375	-4.672	1.39E-305
AOC4P	ENSG00000260105	0.1	3.585	-2.059	9.28E-208
AOX1	ENSG00000138356	0.945	20.49	-3.466	3.15E-256
AP000254.8	ENSG00000273271	1.975	5.885	-1.211	6.14E-118
AP000347.2	ENSG00000272578	0.955	3.745	-1.279	6.66E-101
AP000347.4	ENSG00000234353	1.305	4.59	-1.278	3.46E-69
AP000349.2	ENSG00000280178	7.57	0.06	3.015	4.83E-148
AP000442.1	ENSG00000255139	1.06	3.475	-1.119	9.30E-74
AP000892.6	ENSG00000280143	3.02	17.85	-2.229	2.21E-164
AP001062.7	ENSG00000184441	0.885	3.12	-1.128	1.39E-108
AP001062.8	ENSG00000241728	0.19	1.63	-1.144	7.29E-96
AP001189.4	ENSG00000236304	0.07	4.545	-2.374	8.61E-222
AP003391.1	ENSG00000281272	23.413	0	4.61	6.79E-48
AP1G2	ENSG00000213983	44.8	102.547	-1.177	7.12E-50
AP1S1	ENSG00000106367	66.546	24.56	1.402	4.97E-146
AP2A2	ENSG00000183020	26.395	63.835	-1.243	2.17E-132
APBB1	ENSG00000166313	6.44	39.71	-2.452	4.19E-209
APBB1IP	ENSG00000077420	3.72	15.895	-1.84	1.51E-143
APBB2	ENSG00000163697	7.145	22.545	-1.531	1.78E-126
APBB3	ENSG00000113108	8.12	39.121	-2.137	5.53E-136
APEX2	ENSG00000169188	19.635	8.875	1.063	1.07E-140
APOA1	ENSG00000118137	0.16	1.91	-1.327	8.57E-111
APOA1BP	ENSG00000163382	134.965	56.061	1.253	8.64E-141
APOBEC3A	ENSG00000128383	3.065	14.09	-1.892	4.78E-50
APOBEC3B	ENSG00000179750	21.595	1.605	3.117	3.01E-190
APOBEC3C	ENSG00000244509	34.195	14.075	1.223	8.22E-91
APOBR	ENSG00000184730	2.855	12.71	-1.83	3.03E-124
APOC2	ENSG00000234906	5.225	2.02	1.044	1.19E-15
APOD	ENSG00000189058	14.265	110.618	-2.87	1.75E-91
APOH	ENSG00000091583	0.075	2.085	-1.521	3.66E-86
APOL3	ENSG00000128284	12.195	59.02	-2.185	4.15E-148
APOLD1	ENSG00000178878	3.4	14.845	-1.848	1.39E-108
APOO	ENSG00000184831	24.39	10.605	1.129	1.08E-112
AQP1	ENSG00000240583	37.96	632.862	-4.024	7.13E-227
AQP4	ENSG00000171885	2.18	34.93	-3.498	5.14E-119
AQP5	ENSG00000161798	1.02	5.66	-1.721	9.94E-31
AQP7	ENSG00000165269	0.13	1.85	-1.335	1.24E-154
AQP9	ENSG00000103569	2.73	17.864	-2.338	1.08E-145
ARAP1	ENSG00000186635	42.095	114.304	-1.42	1.05E-136
ARAP1-AS1	ENSG00000256007	1.98	0	1.575	2.85E-01
