Gene_name	Description	Tumor	Normal
BIRC3		7.25	18045
BIRC5		40661	1305
BLM		7.05	1655
BMP2		3525	12415
BMP4		3185	9.07
BMP5		505	7035
BMP6		1.43	7415
BMP7		46011	1.66
BMPER		0.44	6965
BMPR1APS2		1385	125
BMPR2		8.47	22.25
BMX		0.31	2885
BNC1		8.65	0.08
BNC2		0.64	2.63
BOLA2		16.49	6.81
BOLA2B		143832	37454
BOLA3		65375	24755
BOP1		44475	19.58
BORA		6265	1965
bP-21264C1.1		0.23	4.56
bP-2189O9.2		0.14	2175
BPHL		19395	8.49
BPI		0.19	1415
BRCA1		7575	2065
BRI3		154444	317716
BRI3BP		8885	1855
BRICD5		2665	14175
BRIP1		2.77	0.28
BRIX1		56449	15.29
BST1		3.21	13255
BTAF1		6.81	21.39
BTBD11		5535	0.39
BTBD19		1.57	12635
BTF3L4P2		57.12	20.97
BTK		3935	22.94
BTN2A1		10955	25.67
BTN3A1		14.8	33989
BTN3A3		9.97	28435
BTNL8		0.15	3.21
BTNL9		1115	147461
BUB1		13.67	1135
BUB1B		11765	1.01
BYSL		26664	7855
BZRAP1		4.7	20.33
BZW1P2		21655	8.13
BZW2		77999	24
C10orf10		36736	296255
C10orf107		205	1695
C10orf128		4.46	22681
C10orf2		8.15	2435
C10orf35		15305	5205
C10orf54		26255	109064
C10orf95		425	2
C10orf99		7345	0
C11orf21		355	5.38
C11orf96		11.84	198232
C12orf54		4.61	0.39
C12orf56		5095	0.03
C12orf75		35189	11895
C14orf132		1945	13.31
C15orf41		6.71	2.2
C15orf48		31.62	5.45
C15orf52		2665	17895
C16orf45		4.19	15.53
C16orf59		6835	0.68
C16orf74		21.25	2.19
C16orf86		1225	4.91
C16orf89		5.66	70572
C16orf93		2825	6805
C17orf53		6.01	0.76
C17orf58		9.93	4.44
C17orf75		18805	8645
C17orf89		79.53	35666
C17orf96		3.45	1.03
C19orf38		1635	5725
C19orf48		61699	15555
C19orf66		15865	48125
C19orf71		695	2585
C1orf106		22.01	3.97
C1orf112		7885	2115
C1orf115		7.44	19.73
C1orf116		8.82	36111
C1orf132		0.12	1545
C1orf162		11455	74078
C1orf167		0.39	4.64
C1orf168		155	2105
C1orf186		1.6	5635
C1orf194		0.55	5.49
C1orf198		21285	59.1
C1orf228		1.98	12565
C1orf74		3.86	0.99
C1QA		141822	344019
C1QB		157908	485019
C1QBP		137586	61339
C1QTNF1		12475	40.15
C1QTNF2		335	2075
C1QTNF5		16.7	45139
C1QTNF7		0.29	4955
C1R		168265	379274
C1S		163675	362816
C2		27185	90174
C20orf24		176.02	75204
C20orf85		455	6295
C21orf2		11.55	30275
C22orf34		915	3915
C2CD4A		1845	0.12
C2CD4B		0.7	3.49
C2orf40		0.59	19325
C2orf54		3225	9.78
C3		189033	552296
C3AR1		7205	20.69
C3orf14		18.99	7295
C3orf18		1935	5.22
C3orf35		0.21	1465
C3orf36		0.28	3.31
C3orf58		22.51	7385
C3orf62		3075	8.34
C3orf67		4.17	0.31
C4A		30.73	85695
C4B		30914	81291
C4BPA		4.7	44041
C4BPB		0.24	3815
C4orf32		0.97	3.34
C5		1545	5535
C5AR1		8125	44125
C5AR2		0.5	4755
C5orf22		17.53	7895
C5orf45		7655	39381
C5orf46		1.71	165
C5orf49		0.49	2075
C5orf56		3545	17.89
C5orf58		355	2.21
C6		0.13	1.3
C6orf132		16.52	6.12
C6orf183		1525	135
C6orf25		0.2	2.84
C6orf3		0.24	1.62
C6orf49		0.68	3705
C7		8.66	274202
C7orf73		41.75	18745
C8orf34		0.32	2255
C8orf34-AS1		0.53	6295
C8orf4		36354	135012
C8orf46		0.17	2.75
C8orf88		0.98	4.22
C9orf117		0.87	4685
C9orf139		195	1.83
C9orf152		0.51	4.5
C9orf24		1.33	5645
C9orf72		6545	20639
CA1		0.05	1215
CA12		24245	2.43
CA3		0.39	15125
CA4		0.36	79795
CA9		26074	0.16
CAB39L		3245	16135
CABLES1		3295	11.96
CABP4		0.25	2.54
CABYR		8145	1.4
CACNA1C		1.04	7.49
CACNA1D		255	6.32
CACNA1H		1.02	17565
CACNA2D2		1365	38015
CACNA2D4		1945	5845
CACNB1		3.22	16.26
CACNB2		0.39	3735
CACNG4		0.8	5.26
CACYBP		101142	38514
CADM1		10575	31.25
CADM3		0.55	3715
CADM3-AS1		0.05	1975
CADM4		19181	4375
CADPS2		5605	18265
CAHM		0.51	2725
CALCOCO1		28899	138107
CALCOCO2		48775	119378
CALCRL		7.4	44065
CALD1		51307	152128
CALHM2		10.25	31.49
CALM2P2		1.44	6.77
CALML3		120316	0.07
CALML3-AS1		1.43	0.01
CALML5		3.3	395
CAMK1		9025	27751
CAMK2N1		6.09	62924
CAMP		0.33	3095
CAMTA2		19.81	66332
CAPN10		10.12	25.56
CAPN2		91.23	203854
CAPN3		3.01	35.71
CAPN8		2.02	37984
CAPN9		0.35	4.19
CAPNS2		12.35	0.16
CAPRIN2		7175	17.9
CAPS		13.85	32.83
CARD14		3.23	0.92
CARD16		23494	61641
CARD8		12595	40154
CARD9		1.34	5.39
CASC3		30495	67
CASC5		3545	455
CASC9		12455	0
CASK		33385	9905
CASKIN2		7.7	41661
CASP10		5.44	12.49
CASP12		0.09	2105
CASQ2		0.14	3.4
CASS4		1355	12685
CASZ1		6.72	15895
CAT		35346	99077
CATIP		0.17	2.67
CATIP-AS1		0.6	4.18
CATSPER1		435	1975
CAV1		47899	294954
CBFA2T3		1995	14.89
CBLC		23.05	1.37
CBR1		121.92	49073
CBR3		14545	4.12
CBX1		59699	25.68
CBX2		7.96	1405
CBX7		8165	36.89
CCAT1		1.51	0
CCBE1		0.44	9.29
CCDC102B		3.37	14.83
CCDC107		18109	41336
CCDC13		0.33	1795
CCDC130		21.22	58.85
CCDC138		4.39	1105
CCDC14		16825	36066
CCDC141		0.14	1.51
CCDC146		2965	7.1
CCDC149		4.59	11305
CCDC152		1.04	4.39
CCDC154		0.36	2.1
CCDC159		15.1	50811
CCDC167		45.03	13585
CCDC17		0.61	5.94
CCDC180		0.74	5505
CCDC183		0.44	3125
CCDC34		13305	2.02
CCDC37		135	2.36
CCDC39		0.32	2935
CCDC40		1685	5.59
CCDC42B		0.21	1.57
CCDC58		51255	13.07
CCDC65		0.6	2.45
CCDC66		4375	12535
CCDC68		0.78	10435
CCDC69		7.31	48.64
CCDC78		1925	7154
CCDC82		12165	28046
CCDC84		12.79	52421
CCDC85A		0.25	2.83
CCDC85B		10855	41314
CCDC86		29161	10.4
CCDC88B		11705	31.59
CCDC93		7715	18.79
CCK		0.05	1335
CCL13		4515	11.57
CCL14		5875	61712
CCL15		0.05	1305
CCL15-CCL14		325	8935
CCL2		54761	149.81
CCL20		18819	6935
CCL21		41969	150852
CCL23		0.65	18415
CCL26		3465	1125
CCM2L		1125	11.32
CCNA2		17135	1715
CCNB1		65.94	3.84
CCNB2		35.52	1.47
CCND3		37.36	125139
CCNE1		8865	1.21
CCNE2		4.88	1.46
CCNF		7585	1355
CCNI2		0.91	5.41
CCNJL		3.16	8785
CCNL1		55.23	178638
CCNL2		50171	204541
CCNO		3.18	605
CCR10		0.35	2.94
CCR2		1355	3.73
CCRL2		2.44	13.17
CCT3		221252	77313
CCT4		147906	58645
CCT5		330532	88744
CCT6A		183418	90672
CCT7		215328	98704
CCT8P1		0.34	3.07
CD109		14.22	6415
CD151		154182	336123
CD163		22805	153
CD177		1.16	5.5
CD1D		1025	3.28
CD22		1.81	7635
CD24		194273	26178
CD247		3755	10555
CD274		4295	14195
CD276		92279	37356
CD300C		1405	6.56
CD300E		0.91	10765
CD300LF		2715	15255
CD300LG		0.03	7935
CD302		3.98	34825
CD33		3015	17.58
CD34		10755	54611
CD36		7.84	69516
CD37		19325	82721
CD3EAP		7.55	1.93
CD4		24015	58661
CD52		61006	283528
CD53		36755	121355
CD55		46.79	190071
CD59		243275	507846
CD69		3.62	22374
CD79A		17225	4.47
CD81		436639	912859
CD84		2165	5715
CD9		1052313	320937
CD93		7305	62799
CDC14A		2.15	5.58
CDC20		53.43	1845
CDC25A		4145	0.27
CDC25C		3525	0.22
CDC42EP5		9.5	25575
CDC45		20.29	1.01
CDC6		17205	835
CDCA2		4.6	0.28
CDCA3		29414	2665
CDCA4		24935	3.84
CDCA5		23.67	1355
CDCA7		14845	975
CDCA8		16959	1.14
CDCP1		19.26	4.55
CDH1		103554	25235
CDH11		19.38	43235
CDH12P1		0.7	3385
CDH12P3		0.7	3.37
CDH13		8.32	25719
CDH23		0.99	8625
CDH3		98519	3635
CDH5		6285	90474
CDH6		0.81	4805
CDH8		1825	0.16
CDHR1		2715	455
CDHR3		1755	6.91
CDHR4		0.13	2105
CDK1		43.38	3.33
CDK10		35025	85906
CDK11A		18125	80.35
CDK3		5565	12.4
CDK4		184068	62961
CDK5R1		3495	0.83
CDK5RAP3		76.38	161.17
CDKL1		2035	7405
CDKL2		0.51	2085
CDKL5		1445	4895
CDKN1C		7765	30909
CDKN2A		49104	2.12
CDKN3		29.99	1.79
CDO1		505	9885
CDRT4		1165	8255
CDT1		15275	1.16
CEACAM19		4.11	10075
CEACAM21		1335	6805
CEACAM3		0.38	2905
CEACAM4		0.51	4555
CEACAM5		11.74	2.88
CEACAM6		28575	172.17
CEBPB		35481	135016
CEBPD		33109	136.29
CELF2		3.85	28.59
CELF2-AS1		0.05	1.11
CELF6		0.45	5.06
CELSR2		13.38	2.61
CEMP1		1.95	5875
CENPA		16.76	625
CENPE		2.96	0.35
CENPF		34735	1.34
CENPH		16555	2.55
CENPI		4675	0.49
CENPK		8.49	1.79
CENPL		7.97	1.92
CENPM		26139	2.79
CENPN		28.68	4.02
CENPO		11175	3.82
CENPP		6045	1.76
CENPQ		7.25	2.58
CENPT		18.71	59455
CENPU		19005	2.51
CENPW		46216	4665
CEP112		3135	10.82
CEP126		0.95	3.82
CEP55		18.56	715
CEP95		16.87	38519
CERS3		11755	0.09
CERS6		15825	5575
CES1		49179	223432
CES4A		3.23	12.57
CFAP126		0.25	1655
CFAP221		0.81	8195
CFAP43		0.38	2.24
CFAP44		2.19	7585
CFAP45		985	5155
CFAP69		1.33	5095
CFAP70		545	4315
CFD		11235	262977
CFH		24825	70.46
CFI		12165	31154
CFL2		11.99	33975
CFLAR		42731	160718
CFLAR-AS1		0.49	5115
CFP		1.87	16685
CFTR		805	4055
CGN		8.11	35725
CGNL1		2.09	13.3
CGREF1		5645	0.82
CH17-212P11.4		1.79	0
CH17-224D4.1		3004	0.37
CH17-224D4.2		6797	1085
CH17-258A22.4		1.56	6145
CH17-472G23.2		7875	17.59
CH17-472G23.4		0.52	5865
CH25H		3.72	9969
CH507-42P11.8		15325	32.92
CH507-513H4.5		4.61	385
CHAC2		6775	1.47
CHAF1A		14879	4.84
CHAF1B		5425	1.1
CHD1		11315	28.27
CHD2		22695	51.11
CHDH		0.57	2.24
CHEK1		14405	1.46
CHEK2		20.71	6125
CHFR		13225	28.66
CHI3L2		3.75	37994
CHIA		0.14	2.43
CHIAP2		0	2355
CHKA		9.77	35.38
CHKB		34685	97396
CHMP4BP1		915	2.98
CHMP4C		14075	4715
CHN1		9735	20569
CHN2		2.05	6.21
CHODL		2445	0.16
CHPT1		20669	48416
CHRD		1.57	11415
CHRDL1		1.47	66.83
CHRM1		35	1.38
CHRM3		3695	0.86
CHRNA5		5.31	0.43
CHRNB4		1045	0
CIART		11.1	4905
CIB2		9245	3.17
CICP14		3075	7945
CIITA		3765	18.16
CILP2		1725	0.24
CIRBP		158314	385302
CISD2		26369	11815
CISH		8.21	32619
CITED2		27365	133227
CKAP2		17.2	3.72
CKAP2L		6.44	0.36
CKAP4		86046	31205
CKAP5		39356	19.01
CKB		88296	194031
CKM		0.11	2.7
CKMT1A		23779	0.83
CKMT1B		26124	845
CKMT2		395	2.1
CKS1B		175392	31.01
CKS1BP3		7445	0
CKS2		104025	23145
CLASP2		7.2	17.15
CLASRP		31135	94716
CLCA2		69.49	0.12
CLCN2		7065	3.01
CLCN6		3.76	16835
CLCN7		33966	69005
CLDN1		132724	5.54
CLDN10		5.85	1645
CLDN11		1685	7595
CLDN15		4035	12.36
CLDN16		1305	0.12
CLDN18		485	93344
CLDN23		2.27	5.72
CLDN3		4.36	10355
CLDN5		10.48	330166
CLDND2		0.74	2.79
CLEC10A		2.57	6465
CLEC12A		1775	14.19
CLEC12B		65	1525
CLEC14A		6375	60515
CLEC1A		1.3	16315
CLEC1B		0.06	1365
CLEC2B		10.14	33.21
CLEC2D		5155	13055
CLEC3B		5735	186637
CLEC4A		3985	9.96
CLEC4D		195	1715
CLEC4E		2.55	19.44
CLEC4M		0.04	2055
CLEC7A		11.52	39134
CLIC2		5.81	24445
CLIC3		6.81	49586
CLIC4		52809	110105
CLIC5		1085	39355
CLK1		39.45	197402
CLK4		5355	21665
CLMN		3565	9615
CLMP		3.06	7665
CLNS1A		119349	50334
CLSPN		3955	0.49
CLSTN1		127.3	49.29
CLU		257789	834055
CMAHP		8475	58885
CMB9-22P13.1		4065	1155
CMKLR1		2845	10355
