SYMBOL	logFC
APOC2	1.044
APOD	-2.87
APOH	-1.521
APOL3	-2.185
APOLD1	-1.848
APOO	1.129
AQP1	-4.024
AQP4	-3.498
AQP5	-1.721
AQP7	-1.335
AQP9	-2.338
ARAP1	-1.42
ARAP1-AS1	1.575
ARAP2	-1.079
ARAP3	-2.377
ARC	-2.019
AREG	-1.39
ARG1	-2.099
ARGLU1	-2.629
ARHGAP10	-1.325
ARHGAP11A	2.136
ARHGAP15	-1.493
ARHGAP17	-1.041
ARHGAP18	-1.403
ARHGAP20	-1.32
ARHGAP25	-1.153
ARHGAP26	-1.384
ARHGAP27	-1.315
ARHGAP29	-2.807
ARHGAP30	-1.6
ARHGAP31	-1.98
ARHGAP33	-1.281
ARHGAP4	-2.192
ARHGAP44	-2.358
ARHGAP6	-3.396
ARHGAP9	-2.399
ARHGDIB	-1.11
ARHGEF1	-1.86
ARHGEF10	-2.594
ARHGEF10L	-1.271
ARHGEF15	-3.175
ARHGEF17	-2.819
ARHGEF19	1.496
ARHGEF2	-1.977
ARHGEF25	-1.104
ARHGEF26	-1.77
ARHGEF35	1.433
ARHGEF38	-1.414
ARHGEF39	1.019
ARHGEF4	1.261
ARHGEF40	-1.86
ARHGEF6	-2.1
ARHGEF7	-1.319
ARID4A	-1.198
ARID5A	-1.667
ARL17A	-1.04
ARL4C	1.103
ARL4D	1.078
ARL6IP1	1.236
ARL6IP6	1.025
ARMC1	1.029
ARMC9	-1.083
ARMCX1	-1.536
ARMCX4	-1.561
ARNTL	-1.569
ARNTL2	2.941
ARPC4-TTLL3	-1.827
ARRB1	-2.723
ARRB2	-2.226
ARRDC1	-1.037
ARRDC2	-2.347
ART4	-1.302
ARTN	2.825
ARVCF	-1.127
ASAH1	-1.409
ASAP3	-1.202
ASF1B	3.14
ASGR1	-1.142
ASGR2	-1.083
ASIC1	1.048
ASIC3	-1.795
ASMTL-AS1	-2.398
ASPA	-1.685
ASPM	2.564
ASRGL1	-2.26
ASUN	1.235
ASXL1	-1.121
ATAD2	1.599
ATAD3C	-1.064
ATF3	-1.429
ATF5	1.009
ATG16L2	-3.101
ATG2B	-1.124
ATHL1	-2.913
ATOH8	-4.192
ATP10A	-2.061
ATP11A	-2.124
ATP11B	1.252
ATP13A4	-3.339
ATP13A4-AS1	-1.679
ATP1A1-AS1	-1.131
ATP1A2	-2.542
ATP1B1	1.243
ATP1B2	-1.497
ATP2A3	-2.026
ATP2C2	-1.48
ATP5G1	1.323
ATP5G3	1.051
ATP5J2	1.209
ATP5J2-PTCD1	1.18
ATP5L	1.062
ATP6V0A1	-1.267
ATP6V1B2	-1.095
ATP6V1E2	1.068
ATP8A1	-2.552
ATP8B2	-1.419
ATXN7	-1.106
AUNIP	1.882
AURKA	3.005
AURKB	3.338
AVIL	-1.035
AXIN2	-2.278
AXL	-1.323
AZGP1	-1.584
AZIN1	1.087
AZU1	-2.281
B3GALNT2	1.088
B3GNT3	2.163
B3GNT5	1.629
B3GNT7	-1.846
B3GNT8	-1.171
B4GALNT1	1.304
B4GALNT4	3.242
B4GALT2	1.176
B4GALT4	1.296
BAG4	1.112
BAHCC1	-1.093
BAIAP3	-1.433
BANF1	1.109
BARX1	1.984
BARX2	2.084
BATF3	-1.187
BAZ2B	-1.046
BBOX1-AS1	3.1
BCAR3	-1.109
BCAS4	1.582
BCHE	-1.359
BCL11A	2.503
BCL2A1	-1.977
BCL2L10	1.274
BCL2L12	1.267
BCL3	-1.036
BCL6	-1.849
BCL6B	-2.481
BCO2	-1.099
BCRP3	-1.866
BDH1	2.053
BDH2	-1.468
BEND7	-1.661
BEST1	-2.02
BET1P1	-1.868
BEX1	-1.284
BEX5	-1.497
BHMT2	-1.834
BICC1	-1.017
BID	1.581
BIK	2.563
BIN2	-2.133
BIRC3	-1.207
BIRC5	4.176
BLM	1.6
BMP2	-1.568
BMP4	-1.267
BMP5	-2.417
BMP6	-1.792
BMP7	4.143
BMPER	-2.468
BMPR1APS2	1.084
BMPR2	-1.296
BMX	-1.568
BNC1	3.159
BNC2	-1.146
BOLA2	1.163
BOLA2B	1.913
BOLA3	1.366
BOP1	1.144
BORA	1.293
bP-21264C1.1	-2.176
bP-2189O9.2	-1.478
BPHL	1.104
BPI	-1.021
BRCA1	1.484
BRI3	-1.036
BRI3BP	1.792
BRICD5	-2.05
BRIP1	1.558
BRIX1	1.818
BST1	-1.76
BTAF1	-1.519
BTBD11	2.233
BTBD19	-2.407
BTF3L4P2	1.404
BTK	-2.278
BTN2A1	-1.158
BTN3A1	-1.147
BTN3A3	-1.424
BTNL8	-1.872
BTNL9	-6.133
BUB1	2.781
BUB1B	2.667
BYSL	1.643
BZRAP1	-1.904
BZW1P2	1.311
BZW2	1.66
C10orf10	-2.978
C10orf107	-1.161
C10orf128	-2.117
C10orf2	1.413
C10orf35	1.394
C10orf54	-2.014
C10orf95	-1.074
C10orf99	3.061
C11orf21	-2.235
C11orf96	-3.956
C12orf54	2.013
C12orf56	2.565
C12orf75	1.489
C14orf132	-2.281
C15orf41	1.269
C15orf48	2.338
C15orf52	-2.366
C16orf45	-1.671
C16orf59	2.221
C16orf74	2.802
C16orf86	-1.409
C16orf89	-3.426
C16orf93	-1.029
C17orf53	1.994
C17orf58	1.007
C17orf75	1.038
C17orf89	1.135
C17orf96	1.132
C19orf38	-1.352
C19orf48	1.921
C19orf66	-1.542
C19orf71	-1.081
C1orf106	2.211
C1orf112	1.512
C1orf115	-1.296
C1orf116	-1.918
C1orf132	-1.184
C1orf162	-2.592
C1orf167	-2.021
C1orf168	-1.427
C1orf186	-1.352
C1orf194	-2.066
C1orf198	-1.431
C1orf228	-2.187
C1orf74	1.288
C1QA	-1.272
C1QB	-1.613
C1QBP	1.153
C1QTNF1	-1.611
C1QTNF2	-1.204
C1QTNF5	-1.382
C1QTNF7	-2.207
C1R	-1.168
C1S	-1.144
C2	-1.694
C20orf24	1.216
C20orf85	-2.326
C21orf2	-1.317
C22orf34	-1.36
C2CD4A	1.345
C2CD4B	-1.401
C2orf40	-3.676
C2orf54	-1.351
C3	-1.542
C3AR1	-1.402
C3orf14	1.269
C3orf18	-1.084
C3orf35	-1.027
C3orf36	-1.752
C3orf58	1.487
C3orf62	-1.197
C3orf67	1.981
C4A	-1.45
C4B	-1.367
C4BPA	-2.982
C4BPB	-1.957
C4orf32	-1.14
C5	-1.36
C5AR1	-2.306
C5AR2	-1.94
C5orf22	1.059
C5orf45	-2.222
C5orf46	1.218
C5orf49	-1.045
C5orf56	-2.055
C5orf58	-1.244
C6	-1.025
C6orf132	1.299
C6orf183	1.154
C6orf25	-1.678
C6orf3	-1.079
C6orf49	-1.486
C7	-4.832
C7orf73	1.114
C8orf34	-1.302
C8orf34-AS1	-2.253
C8orf4	-1.864
C8orf46	-1.68
C8orf88	-1.399
C9orf117	-1.604
C9orf139	-1.244
C9orf152	-1.865
C9orf24	-1.512
C9orf72	-1.52
CA1	-1.077
CA12	2.88
CA3	-3.536
CA4	-5.893
CA9	4.545
CAB39L	-2.013
CABLES1	-1.593
CABP4	-1.502
CABYR	1.93
CACNA1C	-2.057
CACNA1D	-2.544
CACNA1H	-3.2
CACNA2D2	-4.044
CACNA2D4	-1.217
CACNB1	-2.032
CACNB2	-1.768
CACNG4	-1.798
CACYBP	1.37
CADM1	-1.478
CADM3	-1.605
CADM3-AS1	-1.502
CADM4	1.909
CADPS2	-1.544
CAHM	-1.303
CALCOCO1	-2.218
CALCOCO2	-1.274
CALCRL	-2.424
CALD1	-1.55
CALHM2	-1.53
CALM2P2	-1.671
CALML3	6.825
CALML3-AS1	1.267
CALML5	1.624
CAMK1	-1.52
CAMK2N1	-3.173
CAMP	-1.622
CAMTA2	-1.694
CAPN10	-1.256
CAPN2	-1.151
CAPN3	-3.195
CAPN8	-3.69
CAPN9	-1.943
CAPNS2	3.525
CAPRIN2	-1.209
CAPS	-1.188
CARD14	1.14
CARD16	-1.355
CARD8	-1.598
CARD9	-1.449
CASC3	-1.11
CASC5	1.643
CASC9	3.75
CASK	1.657
CASKIN2	-2.294
CASP10	-1.067
CASP12	-1.51
CASQ2	-1.948
CASS4	-2.539
CASZ1	-1.13
CAT	-1.461
CATIP	-1.649
CATIP-AS1	-1.695
CATSPER1	-1.052
CAV1	-2.597
CBFA2T3	-2.407
CBLC	3.343
CBR1	1.296
CBR3	1.602
CBX1	1.186
CBX2	1.897
CBX7	-2.048
CCAT1	1.328
CCBE1	-2.837
CCDC102B	-1.857
CCDC107	-1.148
CCDC13	-1.071
CCDC130	-1.43
CCDC138	1.356
CCDC14	-1.056
CCDC141	-1.139
CCDC146	-1.031
CCDC149	-1.138
CCDC152	-1.402
CCDC154	-1.189
CCDC159	-1.686
CCDC167	1.658
CCDC17	-2.108
CCDC180	-1.902
CCDC183	-1.518
CCDC34	2.244
CCDC37	-1.566
CCDC39	-1.576
CCDC40	-1.295
CCDC42B	-1.087
CCDC58	1.893
CCDC65	-1.109
CCDC66	-1.332
CCDC68	-2.684
CCDC69	-2.579
CCDC78	-1.479
CCDC82	-1.142
CCDC84	-1.954
CCDC85A	-1.615
CCDC85B	-1.836
CCDC86	1.404
CCDC88B	-1.359
CCDC93	-1.183
CCK	-1.153
CCL13	-1.189
CCL14	-3.189
CCL15	-1.134
CCL15-CCL14	-2.906
CCL2	-1.435
CCL20	1.321
CCL21	-1.821
CCL23	-3.557
CCL26	1.071
CCM2L	-2.535
CCNA2	2.74
CCNB1	3.79
CCNB2	3.886
CCND3	-1.717
CCNE1	2.158
CCNE2	1.257
CCNF	1.866
CCNI2	-1.747
CCNJL	-1.234
CCNL1	-1.676
CCNL2	-2.006
CCNO	1.381
CCR10	-1.545
CCR2	-1.006
CCRL2	-2.042
CCT3	1.505
CCT4	1.32
CCT5	1.885
CCT6A	1.008
CCT7	1.117
CCT8P1	-1.603
CD109	1.037
CD151	-1.119
CD163	-2.694
CD177	-1.589
CD1D	-1.08
CD22	-1.62
CD24	2.845
CD247	-1.281
CD274	-1.521
CD276	1.282
CD300C	-1.652
CD300E	-2.623
CD300LF	-2.129
CD300LG	-3.117
CD302	-2.847
CD33	-2.21
CD34	-2.242
CD36	-2.996
CD37	-2.042
CD3EAP	1.545
CD4	-1.254
CD52	-2.198
CD53	-1.696
CD55	-1.999
CD59	-1.059
CD69	-2.339
CD79A	1.736
CD81	-1.062
CD84	-1.085
CD9	1.71
CD93	-2.941
CDC14A	-1.063
CDC20	4.258
CDC25A	2.018
CDC25C	1.891
CDC42EP5	-1.34
CDC45	3.405
CDC6	3.31
CDCA2	2.129
CDCA3	3.053
CDCA4	2.422
CDCA5	3.389
CDCA7	3.004
CDCA8	3.069
CDCP1	1.868
CDH1	1.995
CDH11	-1.118
CDH12P1	-1.367
CDH12P3	-1.362
CDH13	-1.519
CDH23	-2.274
CDH3	4.424
CDH5	-3.65
CDH6	-1.681
CDH8	1.284
CDHR1	1.352
CDHR3	-1.522
CDHR4	-1.458
CDK1	3.358
CDK10	-1.27
CDK11A	-2.089
CDK3	-1.029
CDK4	1.533
CDK5R1	1.296
CDK5RAP3	-1.067
CDKL1	-1.47
CDKL2	-1.031
CDKL5	-1.27
CDKN1C	-1.864
CDKN2A	4.005
CDKN3	3.473
CDO1	-2.855
CDRT4	-2.096
CDT1	2.914
CEACAM19	-1.116
CEACAM21	-1.741
CEACAM3	-1.501
CEACAM4	-1.879
CEACAM5	1.715
CEACAM6	-2.55
CEBPB	-1.899
CEBPD	-2.009
CELF2	-2.609
CELF2-AS1	-1.007
CELF6	-2.063
CELSR2	1.994
CEMP1	-1.221
CENPA	3.45
CENPE	1.553
CENPF	3.933
CENPH	2.306
CENPI	1.929
CENPK	1.766
CENPL	1.619
CENPM	2.84
CENPN	2.564
CENPO	1.337
CENPP	1.352
CENPQ	1.204
CENPT	-1.617
CENPU	2.511
CENPW	3.059
CEP112	-1.515
CEP126	-1.306
CEP55	3.512
CEP95	-1.145
CERS3	3.549
CERS6	1.356
CES1	-2.161
CES4A	-1.682
CFAP126	-1.087
CFAP221	-2.345
CFAP43	-1.231
CFAP44	-1.428
CFAP45	-1.633
CFAP69	-1.387
CFAP70	-1.782
CFD	-4.431
CFH	-1.468
CFI	-1.288
CFL2	-1.429
CFLAR	-1.887
CFLAR-AS1	-2.037
CFP	-2.623
CFTR	-1.486
CGN	-2.011
CGNL1	-2.21
CGREF1	1.868
CH17-212P11.4	1.48
CH17-224D4.1	1.547
CH17-224D4.2	1.903
CH17-258A22.4	-1.481
CH17-472G23.2	-1.067
CH17-472G23.4	-2.175
CH25H	-1.217
CH507-42P11.8	-1.055
CH507-513H4.5	2.018
CHAC2	1.654
CHAF1A	1.443
CHAF1B	1.613
CHD1	-1.249
CHD2	-1.137
CHDH	-1.045
CHEK1	2.647
CHEK2	1.607
CHFR	-1.06
CHI3L2	-3.037
CHIA	-1.589
CHIAP2	-1.746
CHKA	-1.756
CHKB	-1.463
CHMP4BP1	-1.055
CHMP4C	1.399
CHN1	-1.007
CHN2	-1.241
CHODL	1.57
CHPT1	-1.189
CHRD	-2.272
CHRDL1	-4.779
CHRM1	-1.201
CHRM3	1.336
CHRNA5	2.142
CHRNB4	1.032
CIART	1.035
CIB2	1.297
CICP14	-1.134
CIITA	-2.008
CILP2	1.136
CIRBP	-1.278
CISD2	1.095
CISH	-1.868
CITED2	-2.242
CKAP2	1.947
CKAP2L	2.452
CKAP4	1.434
CKAP5	1.012
CKB	-1.127
CKM	-1.737
CKMT1A	3.759
CKMT1B	3.878
CKMT2	-1.152
CKS1B	2.462
CKS1BP3	3.078
CKS2	2.121
CLASP2	-1.146
CLASRP	-1.575
CLCA2	5.976
CLCN2	1.008
CLCN6	-1.906
CLCN7	-1.002
CLDN1	4.354
CLDN10	1.373
CLDN11	-1.679
CLDN15	-1.408
CLDN16	1.041
CLDN18	-5.989
CLDN23	-1.039
CLDN3	-1.083
CLDN5	-4.85
CLDND2	-1.123
CLEC10A	-1.064
CLEC12A	-2.453
CLEC12B	-1.245
CLEC14A	-3.06
CLEC1A	-2.912
CLEC1B	-1.158
CLEC2B	-1.619
CLEC2D	-1.191
CLEC3B	-4.8
CLEC4A	-1.137
CLEC4D	-1.184
CLEC4E	-2.525
CLEC4M	-1.555
CLEC7A	-1.681
CLIC2	-1.902
CLIC3	-2.695
CLIC4	-1.046
CLIC5	-4.275
CLK1	-2.294
CLK4	-1.834
CLMN	-1.217
CLMP	-1.094
CLNS1A	1.229
CLSPN	1.734
CLSTN1	1.351
CLU	-1.69
CMAHP	-2.66
CMB9-22P13.1	1.233
CMKLR1	-1.562
CMSS1	1.297
CMTM2	-2.416
CMTM5	-1.283
CMTM8	-1.067
CNFN	3.219
CNIH1	1.108
CNN1	-2.886
CNN3	-1.278
CNOT8	-1.017
CNR1	-1.595
CNRIP1	-2.414
CNTFR	-1.5
CNTN1	1.297
CNTN4	-1.346
CNTN6	-1.708
CNTNAP1	-1.761
CNTNAP2	2.192
CNTNAP3B	-1.114
CNTROB	-1.309
COA6	1.771
COA7	1.14
COBL	-2.237
COCH	1.985
COL10A1	3.865
COL11A1	3.223
COL13A1	-2.281
COL14A1	-1.71
COL17A1	5.363
COL1A1	1.896
COL21A1	-2.026
COL3A1	1.725
COL4A2	-1.282
COL4A2-AS1	-1.07
COL4A3	-3.469
COL4A4	-1.909
COL4A6	1.706
COL5A3	-1.421
COL6A1	-1.551
COL6A2	-1.645
COL6A5	-2.173
COL6A6	-3.015
COL7A1	3.128
COL8A1	-1.185
COLEC12	-2.543
COLQ	-1.111
COMMD2	1.069
COQ3	1.392
CORO1A	-1.005
CORO2A	1.116
CORO2B	-1.934
CORO6	-2.775
CORO7	-1.763
COX4I2	-3.161
COX6B1	1.091
COX7A1	-2.096
COX7B	1.027
COX7CP1	-2.413
CP	1.589
CPA3	-1.942
CPAMD8	-3.185
CPB2	-2.28
CPEB4	-1.39
CPED1	-2.13
CPLX1	-1.89
CPM	-2.24
CPQ	-1.123
CPSF3	1.135
CPXM1	1.426
CR1	-1.359
CRABP2	3.905
CRACR2B	-2.297
CRBN	-1.028
CREB3L1	-1.152
CREBRF	-1.587
CREBZF	-1.295
CREG2	1.099
CRELD1	-1.223
CRIM1	-1.503
CRIP1	-1.414
CRIP2	-2.581
CRIPAK	-2.092
CRIPT	1.193
CRISPLD1	1.3
CRISPLD2	-2.62
CRLF1	-1.259
CRMP1	-1.028
CROCC	-1.042
CROCCP3	-1.379
CRTAC1	-2.749
CRY2	-1.679
CRYAB	-1.728
CRYGS	-1.15
CRYM	-1.082
CSAD	-2.015
CSAG3	1.121
CSDC2	-2.64
CSE1L	1.502
CSF1	-1.702
CSF2RA	-1.671
CSF2RB	-1.409
CSF3	-2.889
CSF3R	-4.445
CSGALNACT1	-1.304
CSGALNACT2	-1.395
CSNK2A1	1.217
CSNK2B-LY6G5B-1181	-1.822
CSPG4	-2.194
CSPG4P12	-1.092
CSRNP1	-3.085
CSRP1	-1.576
CST1	4.106
CST3	-1.219
CST6	-2.376
CST7	-2.074
CSTA	3.1
CSTF2	1.272
CTA-212A2.1	-1.338
CTA-228A9.3	-1.092
CTA-276O3.4	-1.478
CTA-293F17.1	1.257
CTA-363E6.2	-1.069
CTA-384D8.35	1.414
CTA-963H5.5	-1.205
CTA-989H11.1	1.094
CTB-113P19.4	1.244
CTB-134H23.3	-1.614
CTB-13F3.1	-2.027
CTB-167G5.7	-1.087
CTB-193M12.5	1.616
CTB-31N19.3	-1.284
CTB-31O20.4	-1.537
CTB-39G8.3	-1.577
CTB-50E14.5	-1.099
CTB-50L17.14	-1.266
CTB-51J22.1	-2.034
CTB-55O6.12	-1.122
CTB-55O6.8	-1.221
CTB-61M7.2	-2.293
CTB-63M22.1	2.248
CTB-79E8.3	-3.228
CTB-89H12.4	-1.438
CTBP1-AS	-1.177
CTC-251I16.1	-1.696
CTC-260E6.2	-1.054
CTC-301O7.4	-1.356
CTC-338M12.4	-1.321
CTC-366B18.4	-1.169
CTC-428H11.2	-1.409
CTC-429P9.2	-1.046
CTC-429P9.3	-1.212
CTC-429P9.4	1.145
CTC-479C5.10	-1.173
CTC-490E21.11	-1.164
CTC-499J9.1	1.064
CTC-510F12.2	-1.996
CTC-510F12.3	-1.128
CTC-518P12.6	1.007
CTC-524C5.2	-1.485
CTC-526N19.1	1.316
CTC-529I10.1	-1.628
CTC-529I10.2	-1.701
CTC-564N23.2	-1.307
CTC1	-1.908
CTD-2006C1.2	-1.026
CTD-2007L18.5	-1.107
CTD-2008L17.1	1.493
CTD-2010I16.1	-1.09
CTD-2013N17.6	-1.216
CTD-2013N24.2	-1.682
CTD-2017F17.2	-1.247
CTD-2020K17.1	-2.36
CTD-2021H9.3	1.43
CTD-2026K11.1	-1.809
CTD-2026K11.6	-1.144
CTD-2033D15.2	-3.014
CTD-2033D15.3	-3.259
CTD-2036P10.6	-1.112
CTD-2047H16.4	-1.136
CTD-2135D7.5	-1.424
CTD-2147F2.1	1.858
CTD-2192J16.22	-2.416
CTD-2224J9.8	-1.13
CTD-2231H16.1	1.525
CTD-2235C13.1	-1.256
CTD-2240E14.4	-1.021
