Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
KLHL1		86	77	9.2	No
FSCB		84	77	9.2	No
WDR17		86	77	9.2	No
MDGA2		82	77	9.2	No
UNC13C		82	77	9.2	No
COL19A1		81	76	9.0	No
DCC		85	76	9.0	No
MMP16		79	76	9.0	No
ROS1		81	76	9.0	Yes
CFAP61		86	76	9.0	No
ZDBF2		86	76	9.0	No
FBN3		76	76	9.0	No
SPAG17		91	76	9.0	No
CDH8		80	75	8.9	No
FN1		82	75	8.9	No
FCGBP		81	75	8.9	No
TRHDE		83	75	8.9	No
NLRP13		84	75	8.9	No
UNC5D		82	75	8.9	No
THSD7A		98	75	8.9	No
DYNC1H1		82	74	8.8	No
EPHA5		81	74	8.8	Yes
FLNC		81	74	8.8	No
PTPRB		85	74	8.8	Yes
POLQ		84	74	8.8	Yes
MYH15		81	74	8.8	No
PDZD2		88	74	8.8	No
SACS		78	74	8.8	No
ZBBX		77	74	8.8	No
ZNF479		78	74	8.8	No
ASPM		83	74	8.8	No
LAMA1		86	74	8.8	No
DOCK2		79	73	8.7	No
GRIN2A		80	73	8.7	Yes
KALRN		83	73	8.7	No
RIMS2		80	73	8.7	No
PLCH1		85	73	8.7	No
CHD7		79	73	8.7	No
GPR158		77	73	8.7	No
LRRC4C		80	73	8.7	No
NALCN		84	73	8.7	No
HRNR		82	73	8.7	No
ASTN1		79	72	8.6	No
PLEC		83	72	8.6	No
ZIC1		85	72	8.6	No
HUWE1		75	72	8.6	No
PTPRT		81	72	8.6	Yes
NPAP1		79	72	8.6	No
HYDIN		75	72	8.6	No
DCDC1		77	72	8.6	No
CACNA1C		82	71	8.4	No
MYH7		73	71	8.4	No
TG		78	71	8.4	No
ZAN		72	71	8.4	No
RIMS1		77	71	8.4	No
DPP10		79	71	8.4	No
RP1L1		81	71	8.4	No
BRWD3		74	71	8.4	No
F5		74	70	8.3	No
GRM8		76	70	8.3	No
NCAM2		83	70	8.3	No
PIK3CG		79	70	8.3	Yes
TPR		73	70	8.3	Yes
UTRN		81	70	8.3	No
VPS13D		72	70	8.3	No
ALPK2		72	70	8.3	No
FSHR		70	69	8.2	No
GRID2		75	69	8.2	No
SLC8A1		71	69	8.2	No
ANKS1B		71	69	8.2	No
KIF2B		78	69	8.2	No
ERBB4		74	68	8.1	Yes
COL24A1		75	68	8.1	No
EPHA6		70	68	8.1	No
NOTCH1		77	67	8.0	Yes
SCN10A		73	67	8.0	No
TRPA1		79	67	8.0	No
BCLAF1		75	67	8.0	No
ZEB2		68	67	8.0	No
ZNF423		77	67	8.0	No
ASTN2		70	67	8.0	No
CTNNA3		73	67	8.0	No
CNTN5		71	67	8.0	No
CNGB3		73	67	8.0	No
DOCK10		75	67	8.0	No
UNC79		73	67	8.0	No
USP29		70	67	8.0	No
KCNH7		68	67	8.0	No
NLRP12		72	67	8.0	No
FAM47A		72	67	8.0	No
STON1-GTF2A1L		68	67	8.0	No
FLG2		70	67	8.0	No
ADCY8		80	66	7.8	No
FBN1		72	66	7.8	No
LAMA4		71	66	7.8	No
ZNF99		69	66	7.8	No
OTOF		70	66	7.8	No
MYO16		69	66	7.8	No
ZNF831		76	66	7.8	No
LYST		70	65	7.7	No
GRM1		73	65	7.7	No
LEPR		65	65	7.7	No
LRP1		73	65	7.7	No
MUC4		78	65	7.7	No
HEPH		73	65	7.7	No
TENM4		67	65	7.7	No
NLRP5		73	65	7.7	No
COL1A2		73	64	7.6	No
CREBBP		72	64	7.6	Yes
EPHB1		65	64	7.6	Yes
GOLGB1		68	64	7.6	No
NRAP		65	64	7.6	No
SCN7A		71	64	7.6	No
HERC1		67	64	7.6	No
SLIT2		70	64	7.6	No
MXRA5		75	64	7.6	No
TRIM58		68	64	7.6	No
DNAH3		68	64	7.6	No
TLN2		68	64	7.6	No
GALNT13		66	64	7.6	No
FREM2		70	64	7.6	No
ADCY2		77	63	7.5	No
ACAN		70	63	7.5	No
ZFHX3		71	63	7.5	Yes
PPP1R3A		70	63	7.5	No
PTPRD		71	63	7.5	Yes
AKAP13		73	63	7.5	No
MYT1L		68	63	7.5	No
BRINP2		66	63	7.5	No
PRUNE2		68	63	7.5	No
ZNF676		63	63	7.5	No
NLRP14		65	63	7.5	No
DST		76	62	7.4	No
PRKDC		64	62	7.4	Yes
TECTA		65	62	7.4	No
THBS2		68	62	7.4	No
ZNF91		75	62	7.4	No
DGKI		71	62	7.4	No
TRIOBP		74	62	7.4	No
TENM3		65	62	7.4	No
NLRP8		70	62	7.4	No
OR2T4		64	62	7.4	No
GRM5		63	61	7.3	No
LTBP1		61	61	7.3	No
ABCB1		76	61	7.3	No
TMPRSS15		63	61	7.3	No
RANBP2		63	61	7.3	Yes
ZNF236		68	61	7.3	No
SORCS3		65	61	7.3	No
PCDH17		64	61	7.3	No
RNF213		73	61	7.3	Yes
CLSTN2		63	61	7.3	No
NLRP3		66	61	7.3	No
SPATA31E1		71	61	7.3	No
CFAP47		66	61	7.3	No
EYS		65	61	7.3	No
FER1L6		65	61	7.3	No
COL4A2		66	60	7.1	No
DPP6		64	60	7.1	No
EPHA3		64	60	7.1	Yes
FAT2		66	60	7.1	No
KDR		68	60	7.1	Yes
LPA		63	60	7.1	No
MKI67		65	60	7.1	Yes
SALL1		73	60	7.1	No
VWF		62	60	7.1	No
TRRAP		67	60	7.1	Yes
ITGA8		63	60	7.1	No
SALL3		66	60	7.1	No
DSCAML1		65	60	7.1	No
ADGRL4		60	60	7.1	No
NDST4		67	60	7.1	No
ABCC12		60	60	7.1	No
NRK		68	60	7.1	No
COL3A1		74	59	7.0	No
MYH6		64	59	7.0	No
TRPS1		63	59	7.0	No
FRY		69	59	7.0	No
VPS13A		63	59	7.0	No
SRRM2		64	59	7.0	No
GALNT17		61	59	7.0	No
C2ORF16		68	59	7.0	No
DCAF4L2		66	59	7.0	No
TDRD5		61	59	7.0	No
ITPRID1		63	59	7.0	No
OR6F1		59	59	7.0	No
NOS1		61	58	6.9	No
ARID1A		62	58	6.9	Yes
SVEP1		68	58	6.9	No
FRAS1		62	58	6.9	No
ASXL3		66	58	6.9	No
CMYA5		72	58	6.9	No
POTEG		64	58	6.9	No
BCHE		57	57	6.8	No
CACNA1A		63	57	6.8	No
RUNX1T1		61	57	6.8	Yes
FLNA		63	57	6.8	No
DCHS1		64	57	6.8	No
AKAP6		58	57	6.8	No
SLCO1B1		58	57	6.8	No
ZNF521		70	57	6.8	Yes
OR4A15		63	57	6.8	No
NUP210L		61	57	6.8	No
CCDC141		61	57	6.8	No
ABCA4		58	56	6.7	No
ANK3		59	56	6.7	No
COL5A2		58	56	6.7	No
GRID1		62	56	6.7	No
ITPR2		61	56	6.7	No
MUC6		60	56	6.7	No
SCN3A		57	56	6.7	No
MYH13		66	56	6.7	No
CD163		57	56	6.7	No
HDAC9		60	56	6.7	No
AKAP9		59	56	6.7	No
ASCC3		59	56	6.7	No
NLGN1		67	56	6.7	No
HECW1		66	56	6.7	No
CNTN6		57	56	6.7	No
DROSHA		56	56	6.7	Yes
KIAA1549		61	56	6.7	No
TRIM51		59	56	6.7	No
DUSP27		60	56	6.7	No
NLRP4		71	56	6.7	No
ADAMTS18		59	56	6.7	No
HECTD4		57	56	6.7	No
NCKAP5		67	56	6.7	No
ACACB		58	55	6.5	No
BRINP1		56	55	6.5	No
DMBT1		60	55	6.5	No
GABRG1		61	55	6.5	No
RB1		56	55	6.5	Yes
CNKSR2		59	55	6.5	No
MORC1		60	55	6.5	No
NBAS		59	55	6.5	No
VPS13C		59	55	6.5	No
RTL9		58	55	6.5	No
LRRTM4		55	55	6.5	No
CADPS2		61	55	6.5	No
SLC39A12		58	55	6.5	No
WDR72		55	55	6.5	No
KCNT2		56	55	6.5	No
GABRA2		56	54	6.4	No
GRM3		59	54	6.4	Yes
RGS7		60	54	6.4	No
SCN5A		54	54	6.4	No
NRXN3		60	54	6.4	No
ABCA9		62	54	6.4	No
WDFY3		56	54	6.4	No
RTTN		59	54	6.4	No
SLITRK5		56	54	6.4	No
CDH23		55	54	6.4	No
WNK1		62	54	6.4	No
MED12L		57	54	6.4	No
ANO5		57	54	6.4	No
AMER3		54	54	6.4	No
SLC17A8		65	54	6.4	No
C7		55	53	6.3	No
CYP11B1		55	53	6.3	No
DSCAM		63	53	6.3	No
F13B		57	53	6.3	No
ADAM2		53	53	6.3	No
KCNA4		54	53	6.3	No
PTPRO		53	53	6.3	Yes
SCN4A		58	53	6.3	No
SLIT3		61	53	6.3	No
TLR4		57	53	6.3	No
TNXB		70	53	6.3	No
ZNF33A		56	53	6.3	No
ADAM6		80	53	6.3	No
DLC1		57	53	6.3	No
OR5L2		60	53	6.3	No
TEX15		63	53	6.3	No
FSTL5		57	53	6.3	No
PREX1		57	53	6.3	No
TSHZ3		59	53	6.3	No
SPEF2		64	53	6.3	No
MS4A14		54	53	6.3	No
PARD3B		55	53	6.3	No
CCDC39		55	53	6.3	No
SPATA31D1		62	53	6.3	No
POTEE		57	53	6.3	No
COL15A1		57	52	6.2	No
HGF		53	52	6.2	Yes
KCNJ3		52	52	6.2	No
NELL1		53	52	6.2	No
OCA2		53	52	6.2	No
PDE3A		56	52	6.2	No
PLCL1		56	52	6.2	No
PZP		55	52	6.2	No
CEP350		56	52	6.2	No
DIDO1		61	52	6.2	No
NBEA		55	52	6.2	No
MYO3A		56	52	6.2	No
SLCO1C1		68	52	6.2	No
ROBO4		55	52	6.2	No
LRRIQ1		57	52	6.2	No
SDK1		54	52	6.2	No
RFX6		56	52	6.2	No
BRCA2		54	51	6.1	Yes
COL4A4		58	51	6.1	No
COL7A1		51	51	6.1	No
COL9A1		53	51	6.1	No
GPC5		56	51	6.1	No
ARHGAP35		58	51	6.1	Yes
TRPC5		52	51	6.1	No
SCN11A		57	51	6.1	No
UNC13A		55	51	6.1	No
BAZ2B		54	51	6.1	No
CEP192		51	51	6.1	No
PCDHB7		53	51	6.1	No
KIAA1211		53	51	6.1	No
FCRL5		55	51	6.1	No
FREM1		51	51	6.1	No
PIKFYVE		57	51	6.1	No
BOD1L1		54	51	6.1	No
NEXMIF		57	51	6.1	No
CENPE		53	50	5.9	No
TNC		55	50	5.9	No
IGF2R		52	50	5.9	No
MCF2		50	50	5.9	No
MYO7B		54	50	5.9	No
SIGLEC1		50	50	5.9	No
ZEB1		51	50	5.9	No
PXDN		52	50	5.9	No
MAGI2		52	50	5.9	No
ATP10B		56	50	5.9	No
TMEM131		53	50	5.9	No
PDZRN4		52	50	5.9	No
NSD1		52	50	5.9	Yes
TKTL2		56	50	5.9	No
NAV2		52	50	5.9	No
TMEM132B		53	50	5.9	No
ANO4		55	50	5.9	No
TRPM6		55	50	5.9	No
CCT8L2		52	50	5.9	No
VWA3B		61	50	5.9	No
SLC44A5		52	50	5.9	No
LRRTM1		56	50	5.9	No
CR2		52	49	5.8	No
FLT1		50	49	5.8	Yes
FOLH1		54	49	5.8	No
NCKAP1L		50	49	5.8	No
MYH9		58	49	5.8	Yes
PDE1C		58	49	5.8	No
PTPRC		51	49	5.8	Yes
TAF1		56	49	5.8	Yes
DOCK4		50	49	5.8	No
SPEG		50	49	5.8	No
NCOA2		50	49	5.8	Yes
SMG1		57	49	5.8	Yes
CHD5		51	49	5.8	No
MYO15A		51	49	5.8	No
SAGE1		50	49	5.8	No
SGIP1		53	49	5.8	No
EGFLAM		52	49	5.8	No
DCAF12L1		53	49	5.8	No
ITIH6		55	49	5.8	No
OR4M2		54	49	5.8	No
OR2T33		52	49	5.8	No
CNTN1		53	48	5.7	No
COL11A2		49	48	5.7	No
NCAN		56	48	5.7	No
GOLGA3		48	48	5.7	No
HIVEP1		56	48	5.7	No
HSPG2		55	48	5.7	No
IMPG1		50	48	5.7	No
KCND2		48	48	5.7	No
KCNH1		52	48	5.7	No
MAP2		53	48	5.7	No
RASA1		50	48	5.7	Yes
REG1A		52	48	5.7	No
REG1B		54	48	5.7	No
MGAM		53	48	5.7	Yes
ENAM		52	48	5.7	No
SRCAP		55	48	5.7	No
CFHR4		51	48	5.7	No
PCDHGB2		49	48	5.7	No
ATP10D		50	48	5.7	No
SLC4A10		52	48	5.7	No
HECW2		50	48	5.7	No
MYPN		57	48	5.7	No
DNAH2		53	48	5.7	No
POTEF		53	48	5.7	No
ABCD2		49	47	5.6	No
AMPH		47	47	5.6	No
AOX1		50	47	5.6	No
ESRRG		47	47	5.6	No
PCNT		49	47	5.6	No
PTPRZ1		55	47	5.6	No
RTN1		51	47	5.6	No
TIAM1		48	47	5.6	No
TRIO		52	47	5.6	No
NES		52	47	5.6	No
UBR4		58	47	5.6	No
ICE1		51	47	5.6	No
ZFPM2		53	47	5.6	No
UTP20		52	47	5.6	No
COL5A3		52	47	5.6	No
PDE11A		50	47	5.6	No
PLCE1		50	47	5.6	No
UBR5		50	47	5.6	Yes
DPPA4		47	47	5.6	No
PCDHB8		54	47	5.6	No
ADAMTSL3		50	47	5.6	No
COLEC12		53	47	5.6	No
SLITRK2		61	47	5.6	No
DSEL		50	47	5.6	No
PNLIPRP3		48	47	5.6	No
OR4C6		50	47	5.6	No
OTOGL		50	47	5.6	No
ATM		47	46	5.5	Yes
ATRX		54	46	5.5	Yes
CACNA1B		54	46	5.5	No
CACNA2D1		48	46	5.5	No
LRBA		48	46	5.5	No
CDH7		48	46	5.5	No
BPTF		50	46	5.5	No
GRIK2		46	46	5.5	No
CNTN3		53	46	5.5	No
SLC6A3		47	46	5.5	No
XDH		47	46	5.5	No
CACNA1I		47	46	5.5	No
DZIP3		46	46	5.5	No
ABCA10		48	46	5.5	No
MCF2L2		49	46	5.5	No
CDH20		46	46	5.5	No
ATG2B		46	46	5.5	No
PCDHB12		47	46	5.5	No
PCDHB10		49	46	5.5	No
NLGN4X		48	46	5.5	No
GRIN3A		49	46	5.5	No
KCNH8		50	46	5.5	No
DOCK11		46	46	5.5	No
PKD1L1		49	46	5.5	No
OR5D18		47	46	5.5	No
ACSM2B		46	46	5.5	No
APBA2		48	45	5.4	No
CACNA1S		49	45	5.4	No
CALCR		45	45	5.4	No
COL4A1		49	45	5.4	No
DLG2		53	45	5.4	No
DSP		49	45	5.4	No
F8		48	45	5.4	No
GRIK3		48	45	5.4	No
GUCY1A2		48	45	5.4	No
IL7R		45	45	5.4	Yes
MUC2		45	45	5.4	No
REG3A		55	45	5.4	No
SLC13A1		45	45	5.4	No
ADAM18		50	45	5.4	No
ABCC9		45	45	5.4	No
PDZRN3		47	45	5.4	No
TNIK		46	45	5.4	No
MTUS2		46	45	5.4	No
DNAJC13		49	45	5.4	No
FLRT2		48	45	5.4	No
ATRNL1		46	45	5.4	No
SHANK1		47	45	5.4	No
ATP8A2		45	45	5.4	No
MBD5		48	45	5.4	No
KLHL4		48	45	5.4	No
ARID1B		49	45	5.4	Yes
HIVEP3		48	45	5.4	No
ANO3		47	45	5.4	No
CCDC170		45	45	5.4	No
OR8J3		45	45	5.4	No
KIRREL2		46	45	5.4	No
ACSM2A		49	45	5.4	No
AXDND1		45	45	5.4	No
IQGAP3		47	45	5.4	No
CD163L1		49	45	5.4	No
ABCA1		48	44	5.2	No
COL2A1		45	44	5.2	Yes
TRPM1		45	44	5.2	No
MYBPC1		49	44	5.2	No
MYLK		44	44	5.2	No
NOTCH2		46	44	5.2	Yes
PCDH7		47	44	5.2	No
SELP		44	44	5.2	No
CUL3		49	44	5.2	Yes
TRIP12		50	44	5.2	No
ST18		56	44	5.2	No
GCN1		49	44	5.2	No
NID2		46	44	5.2	No
FRMPD1		44	44	5.2	No
SETX		48	44	5.2	No
SIPA1L3		46	44	5.2	No
AHCTF1		46	44	5.2	No
NSD3		50	44	5.2	Yes
SLC17A6		47	44	5.2	No
RALGAPA2		46	44	5.2	No
CWH43		45	44	5.2	No
OR4C15		45	44	5.2	No
TSHZ2		49	44	5.2	No
ARHGAP36		45	44	5.2	No
ADAMTS19		45	44	5.2	No
OR4D5		45	44	5.2	No
ABCB5		45	44	5.2	No
GFRAL		44	44	5.2	No
ANK1		43	43	5.1	No
APC		48	43	5.1	Yes
DSG1		43	43	5.1	No
FAP		43	43	5.1	No
GABRB3		46	43	5.1	No
CFH		45	43	5.1	No
MYO10		45	43	5.1	No
NPHS1		46	43	5.1	No
PKD1		43	43	5.1	No
PLXNA1		46	43	5.1	No
POLE		46	43	5.1	Yes
PTPRH		51	43	5.1	No
KAT6A		49	43	5.1	Yes
SEMA5A		54	43	5.1	No
TRDN		43	43	5.1	No
NRG3		45	43	5.1	No
LILRA2		45	43	5.1	No
IL1RAPL1		44	43	5.1	No
IGSF9B		46	43	5.1	No
KIF1B		51	43	5.1	No
DMXL2		45	43	5.1	No
SZT2		47	43	5.1	No
WDR7		43	43	5.1	No
KIAA1549L		45	43	5.1	No
SETBP1		49	43	5.1	Yes
OR1C1		45	43	5.1	No
FBXW7		43	43	5.1	Yes
PCDHA7		49	43	5.1	No
PCDHA6		47	43	5.1	No
ADAMTS9		45	43	5.1	No
ZNF462		43	43	5.1	No
ROBO3		43	43	5.1	No
TGIF2LX		52	43	5.1	No
FCRL3		44	43	5.1	No
DACH2		46	43	5.1	No
PYHIN1		48	43	5.1	No
OR10G8		44	43	5.1	No
CFAP65		50	43	5.1	No
POM121L12		46	43	5.1	No
OR5F1		43	43	5.1	No
ATR		55	42	5.0	Yes
ADGRB1		44	42	5.0	No
CUX1		44	42	5.0	Yes
ITGAX		49	42	5.0	No
ITGB4		42	42	5.0	No
LTBP2		43	42	5.0	No
PRKN		42	42	5.0	Yes
TPO		43	42	5.0	No
MKRN3		43	42	5.0	No
TBX18		46	42	5.0	No
ADAMTS3		45	42	5.0	No
CELSR1		50	42	5.0	No
PATJ		44	42	5.0	No
CORIN		46	42	5.0	No
KIAA0556		43	42	5.0	No
IMPG2		42	42	5.0	No
CFAP44		42	42	5.0	No
TRPV5		42	42	5.0	No
ALPK3		46	42	5.0	No
TFAP2D		43	42	5.0	No
ZIC4		42	42	5.0	No
EVC2		42	42	5.0	No
ASXL1		50	42	5.0	Yes
NLRP7		44	42	5.0	No
OR2L13		42	42	5.0	No
LRRC66		46	42	5.0	No
A2M		41	41	4.9	No
ATP1A2		41	41	4.9	No
CHRM2		44	41	4.9	No
COL5A1		42	41	4.9	No
CR1		43	41	4.9	No
ADGRE1		45	41	4.9	No
AFF2		43	41	4.9	No
GLI3		45	41	4.9	No
GRM7		43	41	4.9	No
KCNQ3		44	41	4.9	No
LAMA3		45	41	4.9	No
NTRK3		48	41	4.9	Yes
PDYN		43	41	4.9	No
PIK3C2G		42	41	4.9	Yes
PNLIP		44	41	4.9	No
MASP1		41	41	4.9	No
ROBO1		44	41	4.9	Yes
SPTB		41	41	4.9	No
TEP1		45	41	4.9	No
USP13		44	41	4.9	No
PIWIL1		42	41	4.9	No
KMT2B		45	41	4.9	Yes
MED12		45	41	4.9	Yes
LAMB4		41	41	4.9	No
PCNX1		41	41	4.9	No
C2CD3		45	41	4.9	No
ATAD2		42	41	4.9	No
ADAM22		41	41	4.9	No
ATF7IP		42	41	4.9	No
BDP1		43	41	4.9	No
ASH1L		45	41	4.9	No
KIAA1210		41	41	4.9	No
MAGEE1		42	41	4.9	No
THADA		43	41	4.9	No
CTTNBP2		41	41	4.9	No
ABCC11		43	41	4.9	No
PHACTR3		41	41	4.9	No
MAGEC3		45	41	4.9	No
ZNF560		41	41	4.9	No
UGT3A2		44	41	4.9	No
ARID2		50	41	4.9	Yes
PDILT		44	41	4.9	No
OR4N4		41	41	4.9	No
OR2G6		42	41	4.9	No
OR4M1		43	41	4.9	No
ADCY1		44	40	4.8	No
BRCA1		43	40	4.8	Yes
CAD		40	40	4.8	Yes
INSR		41	40	4.8	Yes
ITGAD		41	40	4.8	No
LAMA5		41	40	4.8	No
NELL2		41	40	4.8	No
PAPPA		44	40	4.8	No
SIM1		40	40	4.8	No
SPTBN2		40	40	4.8	No
USP9X		44	40	4.8	No
CACNA1G		40	40	4.8	No
MYOM2		42	40	4.8	No
NRXN2		43	40	4.8	No
NAALAD2		40	40	4.8	No
PRG4		41	40	4.8	No
ADAMTS7		41	40	4.8	No
CEP162		40	40	4.8	No
ADGRL2		41	40	4.8	No
NIPBL		42	40	4.8	No
CPAMD8		40	40	4.8	No
CDH19		42	40	4.8	No
MAGEL2		41	40	4.8	No
KIF21A		41	40	4.8	No
SIPA1L2		45	40	4.8	No
CHD8		44	40	4.8	No
SPTBN4		41	40	4.8	No
NOD2		40	40	4.8	No
ACSS3		43	40	4.8	No
HHIPL2		45	40	4.8	No
CPED1		46	40	4.8	No
OR4P4		41	40	4.8	No
OR2G3		40	40	4.8	No
SLX4		42	40	4.8	Yes
FRMPD2		43	40	4.8	No
USF3		42	40	4.8	No
OR10AG1		41	40	4.8	No
OR5J2		43	40	4.8	No
OR4C12		40	40	4.8	No
KCTD8		40	40	4.8	No
THEMIS		42	40	4.8	No
OR5B12		40	40	4.8	No
ACTN2		44	39	4.6	No
CENPF		44	39	4.6	No
ENPEP		39	39	4.6	No
GP2		42	39	4.6	No
GRIA3		45	39	4.6	No
IGSF1		40	39	4.6	No
KCNN2		41	39	4.6	No
KIF5A		39	39	4.6	No
NHS		40	39	4.6	No
PRKCG		42	39	4.6	No
SLC12A1		44	39	4.6	No
SON		40	39	4.6	No
TJP1		39	39	4.6	No
PPFIA1		58	39	4.6	No
CPZ		39	39	4.6	No
ZNF254		40	39	4.6	No
NR1H4		41	39	4.6	No
ABCA8		40	39	4.6	No
POSTN		43	39	4.6	No
PDE10A		43	39	4.6	No
ANKRD26		41	39	4.6	No
PLCB1		39	39	4.6	No
ZFYVE26		49	39	4.6	No
SLCO1B3		40	39	4.6	No
TBX22		44	39	4.6	No
PEX5L		39	39	4.6	No
HEATR5B		42	39	4.6	No
SYTL2		40	39	4.6	No
ZNF407		39	39	4.6	No
EP400		41	39	4.6	Yes
FCRL2		40	39	4.6	No
VEPH1		45	39	4.6	No
TTC21B		39	39	4.6	No
TRPM3		43	39	4.6	No
TET1		45	39	4.6	Yes
ZNF835		42	39	4.6	No
MYOCD		39	39	4.6	No
C8ORF34		40	39	4.6	No
OR8I2		40	39	4.6	No
CLVS2		48	39	4.6	No
ASB5		39	39	4.6	No
A2ML1		39	39	4.6	No
ANKFN1		39	39	4.6	No
MIA3		41	39	4.6	No
GRXCR1		39	39	4.6	No
OR2AK2		40	39	4.6	No
DTNA		38	38	4.5	No
EP300		41	38	4.5	Yes
MECOM		39	38	4.5	Yes
GRIA1		39	38	4.5	No
HIVEP2		39	38	4.5	No
INPP5D		38	38	4.5	Yes
INSRR		39	38	4.5	No
LIG4		38	38	4.5	No
KMT2A		41	38	4.5	Yes
MME		42	38	4.5	No
MTNR1B		38	38	4.5	No
PDGFRA		39	38	4.5	Yes
PRKD1		40	38	4.5	Yes
SOS1		38	38	4.5	Yes
SVIL		40	38	4.5	No
TYR		42	38	4.5	No
KDM6A		39	38	4.5	Yes
MYOM1		45	38	4.5	No
STK19		40	38	4.5	Yes
BSN		42	38	4.5	No
LARGE1		42	38	4.5	No
STXBP5L		39	38	4.5	No
NCOR1		39	38	4.5	Yes
